"UID","Title","PublicationDate"
"15625713","group based hiv risk reduction intervention for adolescent girls evidence of feasibility and efficacy","2005 Feb"
"15624896","alveolar echinococcosis of the liver in an adult with human immunodeficiency virus type 1 infection","2004 Oct"
"15624889","nontuberculous mycobacterial infections a clinical review","2004 Oct"
"15624472","hiv infections","2004 Nov 10"
"15624378","aids day call to cut sharps injuries","2004 Dec 8-14"
"15624259","hiv aids in the commonwealth of massachusetts historical trends and policies for the future","2004 Dec 1"
"15624244","one world multiple standards","2004 Jul"
"15623953","prevalence of intestinal parasitic pathogens among hiv positive individuals in iran","2004 Dec"
"15623952","hiv and syphilis infection among elderly people in northwest ethiopia","2004 Dec"
"15623876","unprotected anal intercourse among hiv positive men who have a steady male sex partner with negative or unknown hiv serostatus","2005 Jan"
"15623875","tobacco use and cessation among a household based sample of us urban men who have sex with men","2005 Jan"
"15623862","longitudinal analysis of unmet need for oral treatment in a national sample of medical hiv patients","2005 Jan"
"15623861","effective hiv case identification through routine hiv screening at urgent care centers in massachusetts","2005 Jan"
"15623860","changing role of the world bank in global health","2005 Jan"
"15623859","understanding and addressing aids related stigma from anthropological theory to clinical practice in haiti","2005 Jan"
"15623853","expanding access to antiretroviral therapy in sub saharan africa avoiding the pitfalls and dangers capitalizing on the opportunities","2005 Jan"
"15623719","progressive outer retinal necrosis presenting with isolated optic neuropathy","2004 Dec 28"
"15623710","associations with autoimmune disorders and hla class i and ii antigens in inclusion body myositis","2004 Dec 28"
"15623279","reagent loaded cartridges for valveless and automated fluid delivery in microfluidic devices","2005 Jan 1"
"15623129","gender and sexuality in young people at bafoussam and mbalmayo cameroon","2004 Aug"
"15623122","antenatal hiv screening and treatment in south africa social norms and policy options","2004 Aug"
"15623120","are public antenatal clinics in blantyre malawi ready to offer services for the prevention of vertical transmission of hiv","2004 Aug"
"15623118","sexual exposure to blood and increased risks for heterosexual hiv transmission in cape town south africa","2004 Aug"
"15623117","fertility trend and pattern in a rural area of south africa in the context of hiv aids","2004 Aug"
"15623010","tuberculosis prevention and treatment","2004 Nov"
"15623004","ever present reality","2004 Nov"
"15622987","preventing the transmission of tuberculosis in healthcare institutions","2004 Aug-Sep"
"15622981","treatment of tuberculosis disease","2004 Aug-Sep"
"15622977","the role of institutions for the prevention of tuberculosis organization relation with the ddass regional public health system and physicians","2004 Aug-Sep"
"15622796","physician survey on knowledge and reporting practices of transfusion transmitted infections in canada","2004 Nov-Dec"
"15622793","prevalence of activity limitation among persons living with hiv aids in british columbia","2004 Nov-Dec"
"15622609","challenges in the epidemiological and clinical aspects of burkitt s lymphoma in kenya linking evidence and experience","2004 Aug"
"15622608","aspects of epidemiological and clinical features of patients with central nervous system burkitt s lymphoma in kenya","2004 Aug"
"15622553","hiv positive man with generalized rash","2005 Jan 1"
"15622550","disseminated mycobacterium chelonae infection during hiv","2004 Nov 20"
"15622455","elevation of immune activation in kenyan women is associated with alterations in immune function implications for vaccine development","2004 Nov"
"15622328","plasma exchange a promising treatment for toxic epidermal necrolysis with aids","2004 Dec 3"
