UID,Title,PublicationDate,PublicationYear
28036374,correction impact and cost of scaling up voluntary medical male circumcision for hiv prevention in the context of the new 90 90 90 hiv treatment targets,2016,2016
28036372,collapse of cytolytic potential in siv specific cd8 t cells following acute siv infection in rhesus macaques,2016 Dec,2016
28036371,correction voluntary medical male circumcision for hiv prevention new mathematical models for strategic demand creation prioritizing subpopulations by age and geography,2016,2016
28036343,concentrations of pro inflammatory cytokines are not associated with senescence marker p16ink4a or predictive of intracellular emtricitabine tenofovir metabolite and endogenous nucleotide exposures in adults with hiv infection,2016,2016
28036012,emerging roles for ciz1 in cell cycle regulation and as a driver of tumorigenesis,2016 Dec 27,2016
28035766,impact of immigration on hiv mother to child transmission in western europe,2017 Aug,2017
28035758,genotypic tropism testing of proviral dna to guide maraviroc initiation in aviraemic subjects 48 week analysis of results from the protest study,2017 Aug,2017
28035738,predictors for and coverage of influenza vaccination among hiv positive patients a cross sectional survey,2017 Aug,2017
28035717,role of cd4 cell count as discriminatory measure to guide chemoprophylaxis against pneumocystis jirovecii pneumonia in human immunodeficiency virus negative immunocompromised patients a systematic review,2017 Apr,2017
28035702,refinements of nerve repair with connector assisted coaptation,2017 Mar,2017
28035497,diagnosed hiv infection in transgender adults and adolescents results from the national hiv surveillance system 2009 2014,2017 Sep,2017
28035496,role of current and historical alcohol use in hepatic fibrosis among hiv infected individuals,2017 Jul,2017
28035034,identification of suvorexant in urine using liquid chromatography quadrupole time of flight mass spectrometry lc q tof ms,2017 Apr 1,2017
28034885,occupational hiv infection in a research laboratory with unknown mode of transmission a case report,2017 Mar 15,2017
28034882,risk assessment tool for identifying pregnant and postpartum women who may benefit from preexposure prophylaxis,2017 Mar 15,2017
28034850,assessment of self awareness of cognitive function correlations of self ratings with actual performance ranks for tests of processing speed memory and executive function in non clinical samples,2017 May 1,2017
28034590,hiv infected patients with and without lipodystrophy under combined antiretroviral therapy evaluation of body composition,2018 Jan-Mar,2018
28034550,dapsone is often tolerated in hiv infected patients with history of sulfonamide antibiotic intolerance,2017 May-Jun,2017
28034359,hiv 1 drug susceptibility to potential second and third line antiretroviral regimens among cameroonian patients evidence from a cross sectional design,2016 Dec 29,2016
28034344,factors associated with delayed enrollment in hiv medical care among hiv positive individuals in odessa region ukraine,2017 Mar/Apr,2017
28034326,short communication low immune activation is associated with higher frequencies of central memory t cell subset in a cohort of indian long term nonprogressors,2017 Feb,2017
28034307,interventions and assessment tools addressing key concepts people need to know to appraise claims about treatment effects a systematic mapping review,2016 Dec 29,2016
28034169,modeling excess zeros and heterogeneity in count data from a complex survey design with application to the demographic health survey in sub saharan africa,2018 Jan,2018
28033735,pass based approach to predict hiv 1 reverse transcriptase resistance,2017 Apr,2017
28033470,developing a motion comic for hiv std prevention for young people ages 15 24 part 2 evaluation of a pilot intervention,2018 Mar,2018
28033409,increased access to antiretroviral therapy is associated with reduced maternal mortality in johannesburg south africa an audit from 2003 2012,2016,2016
28033402,association of pulmonary tuberculosis and hiv in the mexican institute of social security 2006 2014,2016,2016
28033281,correlation of baseline hormonal disorders with immunological failure and mortality in male hiv patients during follow up,2016 Dec,2016
28033240,risk factors associated with bordetella pertussis among infants 4 months of age in the pre tdap era united states 2002 2005,2017 Aug,2017
28032813,effects of the circle of life hiv prevention program on marijuana use among american indian middle school youths a group randomized trial in a northern plains tribe,2018,2018
28032619,application of nanotechnology for the development of microbicides,2017 Feb 3,2017
28032523,hiv status fertility intentions and contraception in the era of expanded access to antiretroviral therapy a case study of rural mozambique,2018 May,2018
28032470,look at uganda s early hiv prevention strategies through a moderate african communitarian lens,2018 Jun,2018
28032237,eliminating perinatal hiv transmission in the united states the impact of stigma,2017 Mar,2017
28032069,tb hiv co infection in iran current situation and the modeling study for future policy,2016 Nov,2016
28031368,structural interface between hiv 1 vif and human apobec3h,2017 Mar 1,2017
28031300,referral systems to integrate health and economic strengthening services for people with hiv a qualitative assessment in malawi,2016 Dec 23,2016
28031206,physiological differences in cryptococcus neoformans strains in vitro versus in vivo and their effects on antifungal susceptibility,2017 Mar,2017
28031190,risk factors for death in children during inpatient treatment of severe acute malnutrition a prospective cohort study,2017 Feb,2017
28031062,maximizing the benefits of art and prep in resource limited settings,2017 Apr,2017
28030987,using a cultural framework to understand factors influencing hiv testing in nigeria,2016 Oct,2016
28030971,suicidal ideation and behaviour among persons seeking hiv testing in peri urban areas of cape town south africa a lost opportunity for suicide prevention,2017 Jul,2017
28030969,effects of trait and state affect on diurnal cortisol slope among children affected by parental hiv aids in rural china,2017 Aug,2017
28030960,why female sex workers participate in hiv research the illusion of voluntariness,2017 Jul,2017
28030600,isoniazid mono resistant tuberculosis impact on treatment outcome and survival of pulmonary tuberculosis patients in southern mexico 1995 2010,2016,2016
28030557,anthropometric improvement among hiv infected pre school children following initiation of first line anti retroviral therapy implications for follow up,2016,2016
28030527,hepatitis b surface antigen testing among pregnant women united states 2014,2017 Jul,2017
28029567,blood discard rate in a blood center in curitiba brazil ten years of study,2017 Apr,2017
28029542,vector based genetically modified vaccines exploiting jenner s legacy,2016 Dec 7,2016
28029221,antepartum stillbirth syndrome risk factors and pregnancy conditions identified from the intergrowth 21 st project,2018 Aug,2018
