UID,Title,PublicationDate,PublicationYear
20041309,prevalence and incidence of hcv infection among vietnam heroin users with recent onset of injection,2010 Mar,2010
20041282,intensive phase non compliance to anti tubercular treatment in patients with hiv tb coinfection a hospital based cross sectional study,2010 Oct,2010
20041167,perceptions of tuberculosis patients on provider initiated hiv testing and counseling a study from south india,2009 Dec 21,2009
20041166,common genetic variation and the control of hiv 1 in humans,2009 Dec,2009
20041004,progressive multifocal leukoencephalopathy in hiv infected children a case report and literature review,2009,2009
20040898,validated high performance liquid chromatography ultraviolet method for quantification of the ccr5 inhibitor maraviroc in plasma of hiv infected patients,2010 Feb,2010
20040702,integrase inhibitors a novel class of antiretroviral agents,2010 Jan,2010
20039969,you opened our eyes care giving after learning a child s positive hiv status in rural south africa,2010 May,2010
20039924,cosmetic use of poly l lactic acid a retrospective study of 130 patients,2010 Feb,2010
20039783,pharmacogenetic testing in the united kingdom genetics and immunogenetics laboratories,2010 Feb,2010
20039714,efavirenz binding to hiv 1 reverse transcriptase monomers and dimers,2010 Jan 26,2010
20039157,burden of disease and level of patient s medical care in substitution treatment for opiates,2009 Dec 15,2009
20038918,epstein barr virus detection and latent membrane protein 1 in oral hairy leukoplakia in hiv venezuelan patients,2010 Mar 1,2010
20038866,integration of hiv testing and linkage to care by the baltimore city health department,2010 Feb,2010
20038621,stage dependent inhibition of hiv 1 replication by antiretroviral drugs in cell culture,2010 Mar,2010
20038617,lack of pharmacokinetic interaction between amdoxovir and reduced and standard dose zidovudine in hiv 1 infected individuals,2010 Mar,2010
20038492,construction and immunogenicity of salmonella vaccine vector expressing hiv 1 antigen and mcp3,2009 Dec,2009
20038397,desensitization to tipranavir caused by toxicodermia,2009 Nov-Dec,2009
20038244,combination flucytosine and high dose fluconazole compared with fluconazole monotherapy for the treatment of cryptococcal meningitis a randomized trial in malawi,2010 Feb 1,2010
20038243,cryptococcosis in the developing world an elephant in the parlor,2010 Feb 1,2010
20036966,role of surfactant protein a and d sp a and sp d in human antiviral host defense,2010 Jan 1,2010
20036688,circulating antibodies to endogenous erythropoietin and risk for hiv 1 related anemia,2010 Mar,2010
20036526,young people and drugs next generation of harm reduction,2010 Mar,2010
20036267,neurocognitive correlates of alexithymia in asymptomatic individuals with hiv,2010 Apr,2010
20035899,recruitment enrollment and retention of young black men for hiv prevention research experiences from the 411 for safe text project,2010 Mar,2010
20035760,validated assay to measure soluble il 7 receptor shows minimal impact of il 7 treatment,2010 Feb 28,2010
20035689,monoclonal antibodies for treating infectious diseases,2009 Dec,2009
20035232,hiv risk behavior before and after hiv counseling and testing in jail a pilot study,2010 Apr 1,2010
20035231,longitudinal analysis of patterns and predictors of changes in self reported adherence to antiretroviral therapy swiss hiv cohort study,2010 Jun,2010
20035164,declines in mortality rates and changes in causes of death in hiv 1 infected children during the haart era,2010 Jan,2010
20034760,geoepidemiology and environmental factors of psoriasis and psoriatic arthritis,2010 May,2010
20034499,interpreting the effect of vaccination on steady state infection in animals challenged with simian immunodeficiency virus,2010 Apr 7,2010
20034346,woman with hiv infection brain abscesses and eosinophilia,2010 Jan 15,2010
20034289,tuberculosis part 3 hiv tuberculosis co infection,2009 Sep,2009
20034245,transgender health and hiv,2009 Summer-Fall,2009
20034244,is hiv treatment hiv prevention,2009 Summer-Fall,2009
20034243,hiv and the brain,2009 Summer-Fall,2009
20034237,fighting hiv one grandmother at a time,2009 Nov-Dec,2009
20034142,with h1n1 vaccine shortage expected highest risk groups go to front of line who is at risk for serious infections and why,2009 Oct,2009
20034140,fda notifications dear healthcare letter for etravirine,2009 Oct,2009
20034139,fda notifications new pediatric guidelines by nih cdc,2009 Oct,2009
20034138,encourage condoms with passion please,2009 Oct,2009
20034129,does arv therapy reduce incidence of non hodgkin lymphoma,2009 Fall,2009
20034112,uv and x ray structural studies of a 101 residue long tat protein from a hiv 1 primary isolate and of its mutated detoxified vaccine candidate,2010 May 1,2010
20034022,human immunodeficiency virus and hepatitis c infections induce distinct immunologic imprints in peripheral mononuclear cells,2010 Jan,2010
20033763,correlates of unprotected anal sex at last sexual episode analysis from a surveillance study of men who have sex with men in montreal,2011 Apr,2011
20033756,cmv retinitis after intravitreal triamcinolone acetonide injection in a patient with beh et s uveitis,2010 Oct,2010
20033624,we ll do this together the role of the first person plural in fostering partnership in patient physician relationships,2010 Mar,2010
20033586,vesselness based 2d 3d registration of the coronary arteries,2009 Jun,2009
20033498,computer aided diagnosis of lumbar disc pathology from clinical lower spine mri,2010 May,2010
20033393,current strategies of conservative and operative treatment of the most frequent muscular disorders,2010 Jan,2010
20033277,social grants welfare and the incentive to trade off health for income among individuals on haart in south africa,2010 Dec,2010
20033276,randomized trial to evaluate the efficacy of a computer tailored intervention to promote safer injection practices among drug users,2010 Jun,2010
20033108,screening for hiv related ptsd sensitivity and specificity of the 17 item posttraumatic stress diagnostic scale pds in identifying hiv related ptsd among a south african sample,2009 Nov,2009
20032885,synthesis and evaluation of in vitro biological activity of 4 substituted arylpiperazine derivatives of 1 7 8 9 tetrachloro 10 10 dimethoxy 4 azatricyclo 5 2 1 0 2 6 dec 8 ene 3 5 dione,2009 Dec 11,2009
20032785,once daily atazanavir ritonavir compared with twice daily lopinavir ritonavir each in combination with tenofovir and emtricitabine for management of antiretroviral naive hiv 1 infected patients 96 week efficacy and safety results of the castle study,2010 Mar,2010
20032784,hepatitis b and hepatitis c seroprevalence in children receiving antiretroviral therapy for human immunodeficiency virus 1 infection in china 2005 2009,2010 Jun,2010
20032783,hiv replication capacity is an independent predictor of disease progression in persons with untreated chronic hiv infection,2010 Apr 1,2010
20032772,oral uridine supplementation antagonizes the peripheral neuropathy and encephalopathy induced by antiretroviral nucleoside analogues,2010 Jan 28,2010
20032549,initial evaluation of the roche cobas taqman hiv 1 v2 0 assay for determining viral load in hiv infected individuals,2009,2009
20032540,non steroidal anti inflammatory drugs increase the antiretroviral activity of nucleoside reverse transcriptase inhibitors in hiv type 1 infected t lymphocytes role of multidrug resistance protein 4,2009,2009
20032539,adipocyte differentiation mitochondrial gene expression and fat distribution differences between zidovudine and tenofovir after 6 months,2009,2009
20032537,increased arterial stiffness in hiv infected children risk factors and antiretroviral therapy,2009,2009
20032536,incidence and risk factors of hiv related non hodgkin s lymphoma in the era of combination antiretroviral therapy a european multicohort study,2009,2009
20032207,human immunodeficiency virus type 1 evasion of a neutralizing anti v3 antibody involves acquisition of a potential glycosylation site in v2,2010 May,2010
20032204,host factor pleiotrophin induces human immunodeficiency virus type 1 replication associated with inflammatory cytokine expression,2010 May,2010
20032191,human leukocyte antigen class i supertypes and hiv 1 control in african americans,2010 Mar,2010
20032007,co administration of fluconazole increases nevirapine concentrations in hiv infected ugandans,2010 Feb,2010
20032006,hepatic safety profile of raltegravir in hiv infected patients with chronic hepatitis c,2010 Mar,2010
20031517,do commercial sex workers who discuss treatment with family and friends adhere to it better,2009 Apr-Jun,2009
20031340,maillard reaction mitochondria and oxidative stress potential role of antioxidants,2010 Jun,2010
20031301,neurological complications of miliary tuberculosis,2010 Apr,2010
20031052,reemergence of syphilis in martinique 2001 2008,2010 Jan,2010
20030841,treatment outcomes and plasma level of ritonavir boosted lopinavir monotherapy among hiv infected patients who had nrti and nnrti failure,2009 Dec 23,2009
20030556,cd4 cd25 hi cd127 lo phenotype does not accurately identify regulatory t cells in all populations of hiv infected persons,2010 Feb 1,2010
20030512,new antihyperglycemic alpha glucosidase inhibitory and cytotoxic derivatives of benzimidazoles,2010 Feb,2010
20030500,knowledge attitudes and practices of voluntary hiv counseling and testing among rural migrants in shanghai china,2009 Dec,2009
20030499,pairing hiv positive prisoners with volunteer life coaches to maintain health promoting behavior upon release a mixed methods needs analysis and pilot study,2009 Dec,2009
20030498,acceptability and use of the female condom and diaphragm among sex workers in dominican republic results from a prospective study,2009 Dec,2009
20030497,perceptions of vulnerability to hiv aids a comparison of two college cohorts 1990 and 2005,2009 Dec,2009
20030495,increasing parent involvement in youth hiv prevention a randomized caribbean study,2009 Dec,2009
20030469,plasma bile acid concentrations in patients with human immunodeficiency virus infection receiving protease inhibitor therapy possible implications for hepatotoxicity,2010 Jan,2010
20030282,nevirapine as an important component of therapy for hiv infection,2009 Nov-Dec,2009
20029819,occult hepatitis b infection in patients infected with hiv report of two cases of hepatitis b reactivation and prevalence in a hospital cohort,2010 Feb,2010
20029809,hepatitis c infection among intravenous drug users attending therapy programs in cyprus,2010 Feb,2010
20029584,hope about a hiv vaccine,2009 Dec 17,2009
20029434,viewpoint childhood undernutrition a failing global priority,2009 Dec,2009
20029426,right to choose parenthood among hiv infected women and men,2009 Dec,2009
20029272,pharmacokinetics of double dose raltegravir in two patients with hiv infection and tuberculosis,2010 Jan 16,2010
20029271,hiv 1 seroreversion following antiretroviral therapy in an hiv infected child initially presenting with acquired immunodeficiency syndrome,2010 Jan 16,2010
20029064,are primary care based sexually transmitted infection services in the uk delivering public health benefit,2010 Jan,2010
20029062,characteristics of research related hiv testing programmes contribute to detection of more hiv infections,2010 Jan,2010
20029060,causal links between binge drinking patterns unsafe sex and hiv in south africa its time to intervene,2010 Jan,2010
20028544,formulation preference tolerability and quality of life assessment following a switch from lopinavir ritonavir soft gel capsule to tablet in human immunodeficiency virus infected patients,2009 Dec 22,2009
20028540,critical assessment of the who responsiveness tool lessons from voluntary hiv testing and counselling services in kenya,2009 Dec 22,2009
20028512,amyloid and tau cerebrospinal fluid biomarkers in hiv infection,2009 Dec 22,2009
20028500,co infection by human immunodeficiency virus type 1 hiv 1 and human t cell leukemia virus type 1 htlv 1 does immune activation lead to a faster progression to aids,2009 Dec 22,2009
20028407,chronic recurrent follicular papules and plaques on the face,2010 Jan,2010
20027949,evaluation of the self esteem of bearers of hiv aids of alfenas city minas gerais brazil,2009 Jun,2009
20027794,historical aspects of some infectious diseases is their gradual eradication utopian,2009 Jul,2009
20027460,seroprevalence of hbv hcv and hiv co infection in selected individuals from state of s o paulo brazil,2009 Nov,2009
20027274,implications of policy changes on the uptake of a pmtct programme in rural malawi first three years of experience,2009 Jan 23,2009
20027266,willingness to volunteer in a phase i ii hiv vaccine trial a study among police officers in dar es salaam tanzania,2009 Aug 7,2009
20027249,epidemiology without borders an anational view of global health,2009 Sep 23,2009
20026610,risk of cardiovascular disease in hiv infected patients,2010 Mar,2010
20026508,bush insider recounts how ideology trumped science on us aids policy,2009 Dec 21,2009
20025515,evaluation of a health setting based stigma intervention in five african countries,2009 Dec,2009
20025514,symptoms of psychological distress a comparison of rural and urban individuals enrolled in hiv related mental health care,2009 Dec,2009
20025513,using the internet to provide care for persons living with hiv,2009 Dec,2009
20025471,programmable nano bio chips multifunctional clinical tools for use at the point of care,2010 Jan,2010
20025450,causes and consequences of increasing club drug use in china a descriptive assessment,2010,2010
20025448,hiv testing in hazardous drinking a survey analysis,2010,2010
20025444,can drug users be effective change agents yes but much still needs to change,2010,2010
20025442,binge use and sex and drug use behaviors among hiv heterosexual methamphetamine users in san diego,2010,2010
20025190,impact of access to antiretroviral therapy in c te d ivoire,2009 Oct,2009
20025173,hiv and sexually transmitted disease among female sex workers in benin,2009 Oct,2009
20024781,factors associated with late hiv testing for latinos diagnosed with aids in los angeles,2009 Sep,2009
20024780,efficacy of convenience sampling through the internet versus respondent driven sampling among males who have sex with males in tallinn and harju county estonia challenges reaching a hidden population,2009 Sep,2009
20024779,anal use of the female condom does uncertainty justify provider inaction,2009 Sep,2009
20024778,methamphetamine initiation among hiv positive gay and bisexual men,2009 Sep,2009
20024776,validity of the k 10 in detecting dsm iv defined depression and anxiety disorders among hiv infected individuals,2009 Sep,2009
20024775,cost of oraquick oral fluid rapid hiv testing at 35 community clinics and community based organizations in the usa,2009 Sep,2009
20024773,adherence to antiretroviral therapy a survey of factors associated with medication usage,2009 Sep,2009
20024772,measuring the quality of life of residents in sadc communities affected by hiv,2009 Sep,2009
20024771,access to hiv aids care for mothers and children in sub saharan africa adherence to the postnatal pmtct program,2009 Sep,2009
20024770,social determinants of mixed feeding behavior among hiv infected mothers in jos nigeria,2009 Sep,2009
20024767,development of a treatment optimism scale for hiv positive gay and bisexual men,2009 Sep,2009
20024766,increased hiv disclosure three months after an online video intervention for men who have sex with men msm,2009 Sep,2009
20024764,managing identity impacts associated with disclosure of hiv status a qualitative investigation,2009 Aug,2009
20024763,characteristics of sexual partnerships not just of individuals are associated with condom use and recent hiv infection in rural south africa,2009 Aug,2009
20024762,hiv related behaviors among black students attending historically black colleges and universities hbcus versus white students attending a traditionally white institution twi,2009 Aug,2009
20024761,condom use exploring verbal and non verbal communication strategies among latino and african american men and women,2009 Aug,2009
