UID,Title,PublicationDate,PublicationYear
34969116,assessment of the urinary microbiota of msm using urine culturomics reveals a diverse microbial environment,2021 Dec 30,2021
34968761,plasma host protein biomarkers correlating with increasing mycobacterium tuberculosis infection activity prior to tuberculosis diagnosis in people living with hiv,2022 Jan,2022
34968725,covalent coupling of hiv 1 glycoprotein trimers to biodegradable calcium phosphate nanoparticles via genetically encoded aldehyde tags,2022 Mar 1,2022
34968395,standard precautions for preventing tuberculosis and hiv compliance of eswatini university student nurses,2021,2021
34968390,hiv 1 capsid is the key orchestrator of early viral replication,2021 Dec,2021
34967811,risk factors for cervical cancer among distinct populations in low resource countries feasibility of cervical cancer screen and treat program on ukerewe island of lake victoria tanzania,2022 Feb 1,2022
34967695,self reported sexually transmitted infections after incarceration in women with or at risk for hiv in the united states 2007 2017,2022 Mar,2022
34967504,same day antiretroviral therapy initiation hub model at the thai red cross anonymous clinic in bangkok thailand an observational cohort study,2021 Dec,2021
34967361,efficacy and safety of traditional chinese herbal medicine combined with haart in the treatment of hiv aids a protocol for systematic review and meta analysis,2021 Dec 30,2021
34967240,effects of telehealth assisted interventions among people living with hiv aids a systematic review and meta analysis of randomized controlled studies,2024 Apr,2024
34967216,graphene based nanomaterials in fighting the most challenging viruses and immunogenic disorders,2022 Jan 10,2022
34967084,merkel cell carcinoma an updated review of pathogenesis diagnosis and treatment options,2022 Mar,2022
34966870,minimally invasive crab shaped fixation for treating patients with fragility fractures of the pelvis,2021,2021
34966618,role of dual energy computed tomography in the identification of monosodium urate deposition in gout patients a comprehensive analysis of 828 joints according to structural joint damage,2021 Nov,2021
34966561,determinants of cerebral palsy in pediatric patients in northern ethiopia a hospital based study,2021,2021
34966497,femoral neck fractures in hiv positive patients analysis of 10 years short term post operative complications,2021 Nov,2021
34966387,potent and protective human neutralizing antibody against sars cov 2 variants,2021,2021
34966342,novel immune classification for predicting immunotherapy responsiveness in patients with adamantinomatous craniopharyngioma,2021,2021
34966148,lower incidence of hiv 1 blips observed during integrase inhibitor based combination antiretroviral therapy,2022 Apr 15,2022
34966147,high level of hiv drug resistance and virologic nonsuppression among female sex workers in ethiopia a nationwide cross sectional study,2022 Apr 15,2022
34965849,why aren t you on prep you re a gay man reification of hiv risk influences perception and behaviour of young sexual minority men and medical providers,2023 Jan,2023
34965832,provider perspectives on barriers to routine hiv testing of adolescent and young adult patients in emergency department settings,2023 Apr-Jun,2023
34965797,cellulitis in patients with chronic lower limb lymphedema due to hiv related kaposi sarcoma,2022 Mar,2022
34965358,effectiveness of bnt162b2 vaccine against omicron variant in south africa,2022 Feb 3,2022
34965338,dolutegravir as first or second line treatment for hiv 1 infection in children,2021 Dec 30,2021
34965322,you are not a man a multi method study of trans stigma and risk of hiv and sexually transmitted infections among trans men in uganda,2021 Dec,2021
34965049,rectal plasmablastic lymphoma in ebstein barr virus positive and human immunodeficiency virus negative subject after external radiation therapy for prostatic cancer,2021 Oct-Dec,2021
34964833,questions remain about who will get monoclonal antibodies for covid 19 preexposure prophylaxis,2022 Jan 18,2022
34964284,impact of the shared decision making process on lung cancer screening decisions,2022 Feb,2022
34964236,failure to return pillbox is a predictor of being lost to follow up among people living with hiv on antiretroviral therapy in rural tanzania,2022 Jul,2022
34964226,development of the hiv360 international core set of outcome measures for adults living with hiv a consensus process,2022 Jul,2022
34964130,cdc s division of adolescent and school health approach to sexual health education in schools 3 decades in review,2022 Feb,2022
34964058,stigma social support and substance use in diverse men who have sex with men and transgender women living with hiv in the us southeast,2022 Jan,2022
34963654,factors associated with trajectories of externalizing behavior in preschoolers,2022 Sep-Oct,2022
34963636,hiv associated talaromycosis does timing of antiretroviral therapy matter,2022 Mar,2022
34963408,multifaceted 3d qsar analysis for the identification of pharmacophoric features of biphenyl analogues as aromatase inhibitors,2023 Mar,2023
34963399,information motivation behavioral skills imb model of antiretroviral therapy art adherence among people living with hiv in shanghai,2023 Jul,2023
34963274,reply to letter to the editor re lipemia retinalis diagnosed incidentally after laser photocoagulation treatment for retinopathy of prematurity,2021 Dec 28,2021
34963273,letter to the editor re lipemia retinalis diagnosed incidentally after laser photocoagulation treatment for retinopathy of prematurity,2021 Dec 28,2021
34963112,take home naloxone and the prevention of deaths from heroin overdose pursuing strong science fuller understanding greater impact,2022,2022
34962974,intragenic proviral elements support transcription of defective hiv 1 proviruses,2021 Dec,2021
34962965,improving sexually transmitted infection screening testing and treatment among people with hiv a mixed method needs assessment to inform a multi site multi level intervention and evaluation plan,2021,2021
34962944,circuits of healthcare understanding healthcare seeking behaviour a qualitative study with tuberculosis patients in lisbon portugal,2021,2021
34962748,evolution of nutritional status immunological and virological parameters in children with vertically transmitted hiv under antiretroviral treatment,2021 Dec 28,2021
34962734,primary effusion lymphoma with multisystemic extracavitary involvement in hiv negative diagnosed by autopsy,2021 Dec 28,2021
34962622,perception of peer condom use buffers the associations between hiv knowledge self efficacy and condom use intention among adolescents a moderated mediation model,2022 Aug,2022
34962571,immune reconstitution bone loss exacerbates bone degeneration due to natural aging in a mouse model,2022 Aug 12,2022
34962505,association between immune dysfunction and covid 19 breakthrough infection after sars cov 2 vaccination in the us,2022 Feb 1,2022
34962366,hiv infection and increased risk of covid 19 mortality a meta analysis,2021 Dec 21,2021
34962315,road map of pre clinical treatment for visceral leishmaniasis,2022 Apr,2022
34962036,l lysine in herpesvirus reactivation after chadox1 ncov 19 vaccine azd1222 minor literature review and case report,2022 Mar,2022
34962015,computational insights into the allosteric effect and dynamic structural features of the sars cov 2 spike protein,2022 Jan 27,2022
34961999,knowledge perception of hiv symptom severity and cervical cancer screening behaviour among women living with hiv in china,2022 Mar,2022
34961858,impact of the covid 19 pandemic on hiv testing rates across four geographically diverse urban centres in the united states an observational study,2022 Mar,2022
34961676,predicting the role of touchless technologies within diagnostic radiography results of an international survey,2022 May,2022
34961535,correction to brief intervention to prevent hiv sti and unintended pregnancies preliminary results of a feasibility study from the perspective of healthcare providers in peru,2021 Dec 28,2021
34961509,ethical considerations for hiv remission clinical research involving participants diagnosed during acute hiv infection,2021 Dec 28,2021
