"UID","Title","PublicationDate"
"20041309","prevalence and incidence of hcv infection among vietnam heroin users with recent onset of injection","2010 Mar"
"20041282","intensive phase non compliance to anti tubercular treatment in patients with hiv tb coinfection a hospital based cross sectional study","2010 Oct"
"20041167","perceptions of tuberculosis patients on provider initiated hiv testing and counseling a study from south india","2009 Dec 21"
"20041166","common genetic variation and the control of hiv 1 in humans","2009 Dec"
"20041004","progressive multifocal leukoencephalopathy in hiv infected children a case report and literature review","2009"
"20040898","validated high performance liquid chromatography ultraviolet method for quantification of the ccr5 inhibitor maraviroc in plasma of hiv infected patients","2010 Feb"
"20040702","integrase inhibitors a novel class of antiretroviral agents","2010 Jan"
"20039969","you opened our eyes care giving after learning a child s positive hiv status in rural south africa","2010 May"
"20039924","cosmetic use of poly l lactic acid a retrospective study of 130 patients","2010 Feb"
"20039783","pharmacogenetic testing in the united kingdom genetics and immunogenetics laboratories","2010 Feb"
"20039714","efavirenz binding to hiv 1 reverse transcriptase monomers and dimers","2010 Jan 26"
"20039157","burden of disease and level of patient s medical care in substitution treatment for opiates","2009 Dec 15"
"20038918","epstein barr virus detection and latent membrane protein 1 in oral hairy leukoplakia in hiv venezuelan patients","2010 Mar 1"
"20038866","integration of hiv testing and linkage to care by the baltimore city health department","2010 Feb"
"20038621","stage dependent inhibition of hiv 1 replication by antiretroviral drugs in cell culture","2010 Mar"
"20038617","lack of pharmacokinetic interaction between amdoxovir and reduced and standard dose zidovudine in hiv 1 infected individuals","2010 Mar"
"20038492","construction and immunogenicity of salmonella vaccine vector expressing hiv 1 antigen and mcp3","2009 Dec"
"20038397","desensitization to tipranavir caused by toxicodermia","2009 Nov-Dec"
"20038244","combination flucytosine and high dose fluconazole compared with fluconazole monotherapy for the treatment of cryptococcal meningitis a randomized trial in malawi","2010 Feb 1"
"20038243","cryptococcosis in the developing world an elephant in the parlor","2010 Feb 1"
"20036966","role of surfactant protein a and d sp a and sp d in human antiviral host defense","2010 Jan 1"
"20036688","circulating antibodies to endogenous erythropoietin and risk for hiv 1 related anemia","2010 Mar"
"20036526","young people and drugs next generation of harm reduction","2010 Mar"
"20036267","neurocognitive correlates of alexithymia in asymptomatic individuals with hiv","2010 Apr"
"20035899","recruitment enrollment and retention of young black men for hiv prevention research experiences from the 411 for safe text project","2010 Mar"
"20035760","validated assay to measure soluble il 7 receptor shows minimal impact of il 7 treatment","2010 Feb 28"
"20035689","monoclonal antibodies for treating infectious diseases","2009 Dec"
"20035232","hiv risk behavior before and after hiv counseling and testing in jail a pilot study","2010 Apr 1"
"20035231","longitudinal analysis of patterns and predictors of changes in self reported adherence to antiretroviral therapy swiss hiv cohort study","2010 Jun"
"20035164","declines in mortality rates and changes in causes of death in hiv 1 infected children during the haart era","2010 Jan"
"20034760","geoepidemiology and environmental factors of psoriasis and psoriatic arthritis","2010 May"
"20034499","interpreting the effect of vaccination on steady state infection in animals challenged with simian immunodeficiency virus","2010 Apr 7"
"20034346","woman with hiv infection brain abscesses and eosinophilia","2010 Jan 15"
"20034289","tuberculosis part 3 hiv tuberculosis co infection","2009 Sep"
"20034245","transgender health and hiv","2009 Summer-Fall"
"20034244","is hiv treatment hiv prevention","2009 Summer-Fall"
"20034243","hiv and the brain","2009 Summer-Fall"
"20034237","fighting hiv one grandmother at a time","2009 Nov-Dec"
"20034142","with h1n1 vaccine shortage expected highest risk groups go to front of line who is at risk for serious infections and why","2009 Oct"
"20034140","fda notifications dear healthcare letter for etravirine","2009 Oct"
"20034139","fda notifications new pediatric guidelines by nih cdc","2009 Oct"
"20034138","encourage condoms with passion please","2009 Oct"
"20034129","does arv therapy reduce incidence of non hodgkin lymphoma","2009 Fall"
"20034112","uv and x ray structural studies of a 101 residue long tat protein from a hiv 1 primary isolate and of its mutated detoxified vaccine candidate","2010 May 1"
"20034022","human immunodeficiency virus and hepatitis c infections induce distinct immunologic imprints in peripheral mononuclear cells","2010 Jan"
"20033763","correlates of unprotected anal sex at last sexual episode analysis from a surveillance study of men who have sex with men in montreal","2011 Apr"
"20033756","cmv retinitis after intravitreal triamcinolone acetonide injection in a patient with beh et s uveitis","2010 Oct"
"20033624","we ll do this together the role of the first person plural in fostering partnership in patient physician relationships","2010 Mar"
"20033586","vesselness based 2d 3d registration of the coronary arteries","2009 Jun"
"20033498","computer aided diagnosis of lumbar disc pathology from clinical lower spine mri","2010 May"
"20033393","current strategies of conservative and operative treatment of the most frequent muscular disorders","2010 Jan"
"20033277","social grants welfare and the incentive to trade off health for income among individuals on haart in south africa","2010 Dec"
"20033276","randomized trial to evaluate the efficacy of a computer tailored intervention to promote safer injection practices among drug users","2010 Jun"
"20033108","screening for hiv related ptsd sensitivity and specificity of the 17 item posttraumatic stress diagnostic scale pds in identifying hiv related ptsd among a south african sample","2009 Nov"
"20032885","synthesis and evaluation of in vitro biological activity of 4 substituted arylpiperazine derivatives of 1 7 8 9 tetrachloro 10 10 dimethoxy 4 azatricyclo 5 2 1 0 2 6 dec 8 ene 3 5 dione","2009 Dec 11"
"20032785","once daily atazanavir ritonavir compared with twice daily lopinavir ritonavir each in combination with tenofovir and emtricitabine for management of antiretroviral naive hiv 1 infected patients 96 week efficacy and safety results of the castle study","2010 Mar"
"20032784","hepatitis b and hepatitis c seroprevalence in children receiving antiretroviral therapy for human immunodeficiency virus 1 infection in china 2005 2009","2010 Jun"
"20032783","hiv replication capacity is an independent predictor of disease progression in persons with untreated chronic hiv infection","2010 Apr 1"
"20032772","oral uridine supplementation antagonizes the peripheral neuropathy and encephalopathy induced by antiretroviral nucleoside analogues","2010 Jan 28"
"20032549","initial evaluation of the roche cobas taqman hiv 1 v2 0 assay for determining viral load in hiv infected individuals","2009"
"20032540","non steroidal anti inflammatory drugs increase the antiretroviral activity of nucleoside reverse transcriptase inhibitors in hiv type 1 infected t lymphocytes role of multidrug resistance protein 4","2009"
"20032539","adipocyte differentiation mitochondrial gene expression and fat distribution differences between zidovudine and tenofovir after 6 months","2009"
"20032537","increased arterial stiffness in hiv infected children risk factors and antiretroviral therapy","2009"
"20032536","incidence and risk factors of hiv related non hodgkin s lymphoma in the era of combination antiretroviral therapy a european multicohort study","2009"
"20032207","human immunodeficiency virus type 1 evasion of a neutralizing anti v3 antibody involves acquisition of a potential glycosylation site in v2","2010 May"
"20032204","host factor pleiotrophin induces human immunodeficiency virus type 1 replication associated with inflammatory cytokine expression","2010 May"
"20032191","human leukocyte antigen class i supertypes and hiv 1 control in african americans","2010 Mar"
"20032007","co administration of fluconazole increases nevirapine concentrations in hiv infected ugandans","2010 Feb"
"20032006","hepatic safety profile of raltegravir in hiv infected patients with chronic hepatitis c","2010 Mar"
"20031517","do commercial sex workers who discuss treatment with family and friends adhere to it better","2009 Apr-Jun"
"20031340","maillard reaction mitochondria and oxidative stress potential role of antioxidants","2010 Jun"
"20031301","neurological complications of miliary tuberculosis","2010 Apr"
"20031052","reemergence of syphilis in martinique 2001 2008","2010 Jan"
"20030841","treatment outcomes and plasma level of ritonavir boosted lopinavir monotherapy among hiv infected patients who had nrti and nnrti failure","2009 Dec 23"
"20030556","cd4 cd25 hi cd127 lo phenotype does not accurately identify regulatory t cells in all populations of hiv infected persons","2010 Feb 1"
"20030512","new antihyperglycemic alpha glucosidase inhibitory and cytotoxic derivatives of benzimidazoles","2010 Feb"
"20030500","knowledge attitudes and practices of voluntary hiv counseling and testing among rural migrants in shanghai china","2009 Dec"
"20030499","pairing hiv positive prisoners with volunteer life coaches to maintain health promoting behavior upon release a mixed methods needs analysis and pilot study","2009 Dec"
"20030498","acceptability and use of the female condom and diaphragm among sex workers in dominican republic results from a prospective study","2009 Dec"
"20030497","perceptions of vulnerability to hiv aids a comparison of two college cohorts 1990 and 2005","2009 Dec"
"20030495","increasing parent involvement in youth hiv prevention a randomized caribbean study","2009 Dec"
"20030469","plasma bile acid concentrations in patients with human immunodeficiency virus infection receiving protease inhibitor therapy possible implications for hepatotoxicity","2010 Jan"
"20030282","nevirapine as an important component of therapy for hiv infection","2009 Nov-Dec"
"20029819","occult hepatitis b infection in patients infected with hiv report of two cases of hepatitis b reactivation and prevalence in a hospital cohort","2010 Feb"
"20029809","hepatitis c infection among intravenous drug users attending therapy programs in cyprus","2010 Feb"
"20029584","hope about a hiv vaccine","2009 Dec 17"
"20029434","viewpoint childhood undernutrition a failing global priority","2009 Dec"
"20029426","right to choose parenthood among hiv infected women and men","2009 Dec"
"20029272","pharmacokinetics of double dose raltegravir in two patients with hiv infection and tuberculosis","2010 Jan 16"
