UID,Title,PublicationDate,PublicationYear
17194910,cancer rates after year 2000 significantly decrease in children with perinatal hiv infection a study by the italian register for hiv infection in children,2007 Jan 1,2007
17194874,assistive technology use among adolescents and young adults with spina bifida,2007 Feb,2007
17194870,health impact of child labor in developing countries evidence from cross country data,2007 Feb,2007
17194824,oral versus intravenous flucytosine in patients with human immunodeficiency virus associated cryptococcal meningitis,2007 Mar,2007
17194781,phylogenetic mapping of recombination hotspots in human immunodeficiency virus via spatially smoothed change point processes,2007 Apr,2007
17194712,myeloperoxidase aids prognostication together with n terminal pro b type natriuretic peptide in high risk patients with acute st elevation myocardial infarction,2007 Jul,2007
17194486,drug resistant hiv 1 prevalence in patients newly diagnosed with hiv aids in japan,2007 Jul,2007
17194390,lipid alterations and cardiovascular risk associated with antiretroviral therapy,2006 Dec,2006
17194005,miltefosine a new remedy for leishmaniasis,2006 Dec 9,2006
17194002,leishmaniasis progress in diagnosis treatment and prevention,2006 Dec 9,2006
17193814,more than thirty years of illicit drugs in spain a bitter story with some messages for the future,2006 Sep-Oct,2006
17193770,it is hard to see how criminalisation helps to prevent new hiv infections,2006 Nov 28-Dec 4,2006
17193761,prevalence of anti hcv hbsag and hiv antibodies in high risk recipients of blood and blood products,2006 Jan-Mar,2006
17193756,overview of the recent trends in hiv aids in the united states,2006 Jan-Mar,2006
17192392,differential effects of il 21 and il 15 on perforin expression lysosomal degranulation and proliferation in cd8 t cells of patients with human immunodeficiency virus 1 hiv,2007 May 1,2007
17192343,prevalence of metabolic syndrome in hiv infected patients receiving highly active antiretroviral therapy using international diabetes foundation and adult treatment panel iii criteria associations with insulin resistance disturbed body fat compartmentalization elevated c reactive protein and corrected hypoadiponectinemia,2007 Jan,2007
17192314,antiviral efficacy of simian immunodeficiency virus specific cd8 t cells is unrelated to epitope specificity and is abrogated by viral escape,2007 Mar,2007
17192300,fitness cost of mutations associated with human immunodeficiency virus type 1 drug resistance is modulated by mutational interactions,2007 Mar,2007
17192195,generation and characterization of a stable cell population releasing fluorescent hiv 1 based virus like particles in an inducible way,2006 Dec 27,2006
17192166,oncologic complications of human immunodeficiency virus infection changing epidemiology treatments and special considerations in the era of highly active antiretroviral therapy,2007 Jan,2007
17192152,cost of care for patients with hiv from the provider economic perspective,2006 Dec,2006
17192151,systematic development of a self help and motivational enhancement intervention to promote sexual health in hiv positive men who have sex with men,2006 Dec,2006
17192150,individual variability in barriers affecting people s decision to take haart a qualitative study identifying barriers to being on haart,2006 Dec,2006
17192148,reconstructive treatment for antiretroviral associated facial lipoatrophy a prospective study comparing autologous fat and synthetic substances,2006 Dec,2006
17191775,non nucleoside reverse transcriptase inhibitors nnrtis past present and future,2004 Jan,2004
17191390,detection of giardine gene in local isolates of giardia duodenalis by polymerase chain reaction pcr,2005 Dec,2005
17191362,penicillium marneffei infection in hiv infected travelers,2006 Dec,2006
17191170,viral gene expression in hiv transgenic mice is activated by mycobacterium tuberculosis and suppressed after antimycobacterial chemotherapy,2007 Jan 15,2007
17191169,hiv 1 replication is stimulated by sodium stibogluconate the therapeutic mainstay in the treatment of leishmaniasis,2007 Jan 15,2007
17191168,mortality in siblings of patients coinfected with hiv and hepatitis c virus,2007 Jan 15,2007
17191167,hiv 1 disease progression in breast feeding and formula feeding mothers a prospective 2 year comparison of t cell subsets hiv 1 rna levels and mortality,2007 Jan 15,2007
17191141,readiness for hiv testing among young people in northern nigeria the roles of social norm and perceived stigma,2007 Sep,2007
17191089,recreational viagra use and sexual risk among drug abusing men,2006,2006
17191009,hiv infection among uganda women with cervical cancer a retrospective study,2007,2007
17190781,live and let live an analysis of hiv aids related stigma and discrimination in international campaign posters,2006 Dec,2006
17190780,explaining the increase in condom use among south african young females,2006 Dec,2006
17190702,pilot study of the safety implications of australian nurses sleep and work hours,2006,2006
17190619,community acquired methicillin resistant staphylococcus aureus,2007 Jan,2007
17190306,implant prosthetic treatment in hiv infected patients receiving highly active antiretroviral therapy report of cases,2006 Nov-Dec,2006
17190128,inflammatory heart diseases in childhood lebanese epidemiological survey,2006 Jul-Sep,2006
17188907,calcific tendinitis natural history and association with endocrine disorders,2007 Mar-Apr,2007
17188572,road to recovery translating pd 1 biology into clinical benefit,2007 Feb,2007
17188453,physician patient working alliance,2007 Apr,2007
17188088,human immunodeficiency virus and hepatitis testing and prevalence among surgical patients in an urban university hospital,2007 Jan,2007
17187853,brief report methods for collecting sexual behaviour information from south african adolescents a comparison of paper versus personal digital assistant questionnaires,2007 Apr,2007
17187695,randomized controlled trial comparing two educational booklets on prostate cancer,2006 Dec,2006
17187670,role of cholesterol and sphingolipids in chemokine receptor function and hiv 1 envelope glycoprotein mediated fusion,2006 Dec 22,2006
17187662,role of sexually transmitted infections in male circumcision effectiveness against hiv insights from clinical trial simulation,2006 Dec 22,2006
17187653,elevated plasma urokinase receptor predicts low birth weight in maternal malaria,2007 Jan,2007
17187612,quality of infant feeding counselling for hiv mothers in brazil challenges and achievements,2007 Jan,2007
17187506,hiv and pharmacogenomics in 2007,2007 Jan,2007
17187416,expanding the applicability of noninvasive fibrosis markers in hiv hcv co infected patients,2007 Jan,2007
17187101,hiv 1 seroprevalence in the general population of salvador bahia state northeast brazil,2007 Jan,2007
17187074,polyvalent vaccines for optimal coverage of potential t cell epitopes in global hiv 1 variants,2007 Jan,2007
17186963,infection with hiv and intestinal parasites among street dwellers in gondar city northwest ethiopia,2006 Dec,2006
17186613,accountability,2005 Dec,2005
17186369,using theatrical presentations as a means of disseminating knowledge of hiv aids risk factors to migrant farmworkers an evaluation of the effectiveness of the inf rmate program,2007 Apr,2007
17186128,sexual scripts of women a longitudinal analysis of participants in a gender specific hiv std prevention intervention,2007 Apr,2007
