UID,Title,PublicationDate,PublicationYear
15625713,group based hiv risk reduction intervention for adolescent girls evidence of feasibility and efficacy,2005 Feb,2005
15624896,alveolar echinococcosis of the liver in an adult with human immunodeficiency virus type 1 infection,2004 Oct,2004
15624889,nontuberculous mycobacterial infections a clinical review,2004 Oct,2004
15624472,hiv infections,2004 Nov 10,2004
15624378,aids day call to cut sharps injuries,2004 Dec 8-14,2004
15624259,hiv aids in the commonwealth of massachusetts historical trends and policies for the future,2004 Dec 1,2004
15624244,one world multiple standards,2004 Jul,2004
15623953,prevalence of intestinal parasitic pathogens among hiv positive individuals in iran,2004 Dec,2004
15623952,hiv and syphilis infection among elderly people in northwest ethiopia,2004 Dec,2004
15623876,unprotected anal intercourse among hiv positive men who have a steady male sex partner with negative or unknown hiv serostatus,2005 Jan,2005
15623875,tobacco use and cessation among a household based sample of us urban men who have sex with men,2005 Jan,2005
15623862,longitudinal analysis of unmet need for oral treatment in a national sample of medical hiv patients,2005 Jan,2005
15623861,effective hiv case identification through routine hiv screening at urgent care centers in massachusetts,2005 Jan,2005
15623860,changing role of the world bank in global health,2005 Jan,2005
15623859,understanding and addressing aids related stigma from anthropological theory to clinical practice in haiti,2005 Jan,2005
15623853,expanding access to antiretroviral therapy in sub saharan africa avoiding the pitfalls and dangers capitalizing on the opportunities,2005 Jan,2005
15623719,progressive outer retinal necrosis presenting with isolated optic neuropathy,2004 Dec 28,2004
15623710,associations with autoimmune disorders and hla class i and ii antigens in inclusion body myositis,2004 Dec 28,2004
15623279,reagent loaded cartridges for valveless and automated fluid delivery in microfluidic devices,2005 Jan 1,2005
15623129,gender and sexuality in young people at bafoussam and mbalmayo cameroon,2004 Aug,2004
15623122,antenatal hiv screening and treatment in south africa social norms and policy options,2004 Aug,2004
15623120,are public antenatal clinics in blantyre malawi ready to offer services for the prevention of vertical transmission of hiv,2004 Aug,2004
15623118,sexual exposure to blood and increased risks for heterosexual hiv transmission in cape town south africa,2004 Aug,2004
15623117,fertility trend and pattern in a rural area of south africa in the context of hiv aids,2004 Aug,2004
15623010,tuberculosis prevention and treatment,2004 Nov,2004
15623004,ever present reality,2004 Nov,2004
15622987,preventing the transmission of tuberculosis in healthcare institutions,2004 Aug-Sep,2004
15622981,treatment of tuberculosis disease,2004 Aug-Sep,2004
15622977,the role of institutions for the prevention of tuberculosis organization relation with the ddass regional public health system and physicians,2004 Aug-Sep,2004
15622796,physician survey on knowledge and reporting practices of transfusion transmitted infections in canada,2004 Nov-Dec,2004
15622793,prevalence of activity limitation among persons living with hiv aids in british columbia,2004 Nov-Dec,2004
15622609,challenges in the epidemiological and clinical aspects of burkitt s lymphoma in kenya linking evidence and experience,2004 Aug,2004
15622608,aspects of epidemiological and clinical features of patients with central nervous system burkitt s lymphoma in kenya,2004 Aug,2004
15622553,hiv positive man with generalized rash,2005 Jan 1,2005
15622550,disseminated mycobacterium chelonae infection during hiv,2004 Nov 20,2004
15622455,elevation of immune activation in kenyan women is associated with alterations in immune function implications for vaccine development,2004 Nov,2004
15622328,plasma exchange a promising treatment for toxic epidermal necrolysis with aids,2004 Dec 3,2004
15622326,cd4 cell decline with didanosine and tenofovir and failure of triple nucleoside nucleotide regimens may be related,2004 Dec 3,2004
15622324,soluble toll like receptor 2 in hiv infection association with disease progression,2004 Dec 3,2004
15622322,earlier initiation of highly active antiretroviral therapy does not protect against the deleterious effects of non adherence,2004 Dec 3,2004
15622320,male circumcision and the risk of sexually transmitted infections and hiv in rakai uganda,2004 Dec 3,2004
15622318,prognostic value of plasma hiv rna among highly active antiretroviral therapy users,2004 Dec 3,2004
15622316,treatment interruption for virological failure or as sparing regimen in children with chronic hiv 1 infection,2004 Dec 3,2004
15621785,long distance polymerase chain reaction of ascites lymphoma cells aids diagnosis establishment of abdominal burkitt s lymphoma and burkitt like lymphoma,2005 Jan,2005
15621772,non hodgkin s lymphoma in job s syndrome a case report and literature review,2004 Dec,2004
15621482,bh4 peptide derivative from bcl xl attenuates ischemia reperfusion injury thorough anti apoptotic mechanism in rat hearts,2005 Jan,2005
15621413,factors associated with drug treatment dropout among injection drug users in puerto rico,2005 Feb,2005
15620556,seth berkley accelerating aids vaccine development interviewed by marilynn larkin,2005 Jan,2005
15620054,emergence and species barriers,2004 Nov,2004
15620026,rising total of hiv cases forces education rethink,2004 Dec 1-7,2004
15619886,management of occupational and sexual exposure to hiv in the toulouse teaching hospital,2004 Apr,2004
15619785,my flu shot story rationing during wartime,2004 Sep-Oct,2004
15619781,developments in hiv treatments strategies for success,2004 Dec,2004
15619779,management options for facial lipoatrophy,2004 Dec,2004
15619778,policy watch dear mr president,2004 Dec,2004
15619775,depression and hiv,2004 Oct,2004
15619773,new once a day drugs truvada and epzicom,2004 Nov-Dec,2004
15619771,resources great hotlines organizations and websites,2004 Nov-Dec,2004
15619767,shifting focus,2004 Nov-Dec,2004
15619766,opportunistic infections 101,2004 Nov-Dec,2004
15619764,access 101 navigating the rocky waters of hiv aids healthcare,2004 Nov-Dec,2004
15619485,abdominal aortic surgery in patients with human immunodeficiency virus infection,2004 Dec,2004
15619237,effect of antiretroviral therapy on liver disease among adults with hiv and hepatitis c coinfection,2005 Jan,2005
15619146,advocacy is this your cause,2005 Jan,2005
15619080,syphilis and hiv infection characteristic features of diagnosis clinical assessment and treatment,2005 Feb,2005
15618469,inhibition of pathogenic shiv replication in macaques treated with antisense dna of interleukin 4,2005 Apr 15,2005
