"UID","Title","PublicationDate"
"10614853","seroprevalence of human herpes virus 8 in different eritrean population groups","1999 Dec"
"10614852","comparison of the murex hybrid capture cmv dna v2 0 assay and the pp65 cmv antigenemia test for the detection and quantitation of cmv in blood samples from immunocompromised patients","1999 Dec"
"10614783","murine chemokine receptor cxcr4 is tightly regulated during t cell development and activation","1999 Dec"
"10614606","effect of blood on the antiviral activity of sodium hypochlorite a phenolic and a quaternary ammonium compound","1999 Dec"
"10614517","effectiveness of condoms in reducing heterosexual transmission of hiv","1999 Nov-Dec"
"10614482","aids among the japanese brazilian residents of the sao paulo municipality size and profile of the studied group","1998 Dec"
"10614476","information and education on sexually transmitted diseases aids and human sexuality a case report after 14 years of experience","1998 Dec"
"10614438","rn continues advancing health care worker safety","1998 Apr"
"10614140","significance of intracranial hypertension management in cryptococcal meningitis in patients with acquired immunodeficiency syndrome report of 2 cases","1999 Sep-Oct"
"10614076","factors affecting the clinical course of bacteremia prospective study at a university hospital","1999 Nov"
"10614075","seroepidemiology of bartonella henselae infection in hiv infected patients","1999 Nov"
"10613940","emergency department management of blood and body fluid exposures","2000 Jan"
"10671079","china s first international hiv vaccine meeting the war of the roses","2000 Jan"
"10613829","decay of the latent reservoir of replication competent hiv 1 is inversely correlated with the extent of residual viral replication during prolonged anti retroviral therapy","2000 Jan"
"10613828","persistence of episomal hiv 1 infection intermediates in patients on highly active anti retroviral therapy","2000 Jan"
"10613827","gender differences in hiv 1 diversity at time of infection","2000 Jan"
"10613796","china s first international hiv vaccine meeting the war of the roses","2000 Jan"
"10613711","random mandatory drugs testing of prisoners a biassed means of gathering information","1999"
"10613480","management of idiopathic ulcer of the anal canal by excision in hiv positive patients","1999 Dec"
"10613382","treatment of hiv related neutropenia","1999 Dec 15"
"10613379","update on the treatment of neutropenia in hiv infected patients introduction","1999 Dec 15"
"10612887","anaemia during pregnancy in burkina faso west africa 1995 96 prevalence and associated factors ditrame study group","1999"
"10612884","pragmatic intervention to promote condom use by female sex workers in thailand","1999"
"10612729","mycobacterium avium resists exposure to the acidic conditions of the stomach","2000 Jan 1"
"10612659","actin binding cellular proteins inside human immunodeficiency virus type 1","2000 Jan 5"
"10612472","genetically identical primate modelling systems for hiv vaccines","1998"
"10612228","special problems of hiv positive women who are either drug abusers or on methadone replacement therapy","1999"
"10612225","prenatal care of a hiv 1 positive pregnancy and birth","1999"
"10612224","current therapeutic protocols and efficacy of new antiretroviral drugs for the treatment of hiv infection taking into consideration gender specific profile of side effects","1999"
"10612223","new aspects of the pathogenesis of hiv infections","1999"
"10611855","preventive therapy against tuberculosis in people living with hiv","1999 Nov 19"
"10611838","nosocomial hiv transmission at a danish hospital department","1999 Nov 15"
"10611745","isolation and characterization of a monoclonal antibody that inhibits hiv 1 infection","1999 Jul"
"10611743","search for an antibody profile of rhodococcus equi infection in aids patients despite the diversity of isolates and patient immune dysfunction","1999 Jul"
"10611730","immune recovery uveitis","1999 Dec"
"10611726","new strategies for the management of aids related cmv retinitis in the era of potent antiretroviral therapy","1999 Dec"
"10611722","detection of cmv dna in peripheral blood leukocytes as a long range harbinger of cmv disease in hiv infected patients swiss hiv cohort study","1999 Dec"
"10611720","cytomegalovirus virological facts for clinicians","1999 Dec"
"10611719","hiv epidemiology and treatment 1999","1999 Dec"
"10611410","role of chemokines in the immunopathology of pulmonary disease","1999 Oct-Dec"
"10611407","new insight into the role of old chemotactic peptide receptors fpr and fprl1 down regulation of chemokine receptors ccr5 and cxcr4","1999 Oct-Dec"
"10611356","antigen driven cd4 t cell and hiv 1 dynamics residual viral replication under highly active antiretroviral therapy","1999 Dec 21"
"10611346","hiv 1 and t cell dynamics after interruption of highly active antiretroviral therapy haart in patients with a history of sustained viral suppression","1999 Dec 21"
"10611337","extracellular antigen processing and presentation by immature dendritic cells","1999 Dec 21"
"10611272","dissociation of hiv 1 from follicular dendritic cells during haart mathematical analysis","1999 Dec 21"
