UID,Title,PublicationDate,PublicationYear
38156521,are we really ready for dual therapy in naive people with hiv the experience from a large university hospital in rome italy,2024 Feb 1,2024
38156391,serum c reactive protein greater than 75 mg dl as an early available laboratory predictor of severe covid 19 a systematic review,2023 Dec,2023
38156226,antifungal stewardship the latin american experience,2023,2023
38156202,association of covid 19 coinfection with increased mortality among patients with pseudomonas aeruginosa bloodstream infection in the veterans health administration system,2023,2023
38155448,primary adenocarcinoma of colon a clinicopathological study with the prevalence and correlation of cdx2 biomarker expression a tertiary care center experience,2024 Apr 1,2024
38155405,outcomes in kaposi s sarcoma associated herpesvirus associated primary effusion lymphoma and multicentric castleman s disease in patients with human immunodeficiency virus hiv in a safety net hospital system,2024 May,2024
38155252,genetic variation and geographic distribution of leishmania orientalis and leishmania martiniquensis among leishmania hiv co infection in thailand,2023 Dec 28,2023
38155248,identification of cd38 cd97 and cd278 on the hiv surface using a novel flow virometry screening assay,2023 Dec 27,2023
38155227,reduced hiv aids diagnosis rates and increased aids mortality due to late diagnosis in brazil during the covid 19 pandemic,2023 Dec 27,2023
38154893,genital tract infections the vaginal microbiome and gestational age at birth among pregnant women in south africa a cohort study protocol,2023 Dec 28,2023
38154811,early disengagement from hiv pre exposure prophylaxis services and associated factors among female sex workers in dar es salaam tanzania a socioecological approach,2023 Dec 28,2023
38154660,hiv drug resistance among patients experiencing antiretroviral therapy failure in russia 2019 2021,2024 Feb,2024
38154559,incidence of bacterial respiratory infection and pneumonia in people with hiv with and without airflow limitation,2024 Feb,2024
38154544,divergent effects of the antiretroviral drugs dolutegravir tenofovir alafenamide and tenofovir disoproxil fumarate on human adipocyte function,2024 Feb,2024
38154104,in situ raman spectroscopy reveals cytochrome c redox controlled modulation of mitochondrial membrane permeabilization that triggers apoptosis,2024 Jan 10,2024
38153993,letter by teng et al regarding article association of hiv infection and incident abdominal aortic aneurysm among 143 001 veterans,2024 Jan 2,2024
38153953,risk of sexually transmitted infections among u s military service members in the setting of hiv pre exposure prophylaxis use,2023,2023
38153924,high blood pressure comes from thinking too much understandings of illness among couples living with cardiometabolic disorders and hiv in malawi,2023,2023
38153783,impact of remote patient monitoring platform on patients with moderate to severe persistent asthma observational study,2023 Dec 28,2023
38153247,case of multiple hiv virological failures in a compliant patient do pharmacogenetics matter,2024 Feb 1,2024
