UID,Title,PublicationDate,PublicationYear
23272280,concentrated hiv epidemic in pakistan an opportunity to prevent generalized epidemic,2012 Dec,2012
23272255,azithromycin and ciprofloxacin resistance in salmonella bloodstream infections in cambodian adults,2012,2012
23272125,household based hiv counseling and testing as a platform for referral to hiv care and medical male circumcision in uganda a pilot evaluation,2012,2012
23272097,capacity building and clinical competence in infectious disease in uganda a mixed design study with pre post and cluster randomized trial components,2012,2012
23272094,pattern of attrition from an antiretroviral treatment program in nigeria,2012,2012
23272062,evaluation of tlr agonists as potential mucosal adjuvants for hiv gp140 and tetanus toxoid in mice,2012,2012
23271959,research on implementation of interventions in tuberculosis control in low and middle income countries a systematic review,2012,2012
23271956,how hiv sneaks aboard mature dendritic cells,2012,2012
23271952,siglec 1 is a novel dendritic cell receptor that mediates hiv 1 trans infection through recognition of viral membrane gangliosides,2012,2012
23271898,treatment acceptance and adherence in hiv disease patient identity and the perceived impact of physician patient communication,2012,2012
23271897,impact of immune reconstitution inflammatory syndrome on antiretroviral therapy adherence,2012,2012
23271772,presenting treatment options to men with clinically localized prostate cancer the acceptability of active surveillance monitoring,2012 Dec,2012
23271598,drug use among gay and bisexual men at weekend dance parties the role of intentions and perceptions of peers behaviors,2013 May,2013
23271478,using the blt humanized mouse as a stem cell based gene therapy tumor model,2012 Dec 18,2012
23271207,impact of hiv status hiv disease progression and post traumatic stress symptoms on the health related quality of life of rwandan women genocide survivors,2013 Oct,2013
23270991,antivirals past present and future,2013 Mar 15,2013
23270933,risk of hiv or second syphilis infection in danish men with newly acquired syphilis in the period 2000 2010,2013 Aug,2013
23270932,coverage context and targeted prevention optimising our impact,2013 Jun,2013
23270930,chronic kidney disease at presentation is not an independent risk factor for aids defining events or death in hiv infected persons,2013 Feb,2013
23270785,targeting hiv latency pharmacologic strategies toward eradication,2013 Jun,2013
23270686,hiv 1 v3 loop crown epitope focused mimotope selection by patient serum from random phage display libraries implications for the epitope structural features,2013 Jun,2013
23270614,factors associated with malaria parasitaemia malnutrition and anaemia among hiv exposed and unexposed ugandan infants a cross sectional survey,2012 Dec 27,2012
23270497,genetic diversity and drug resistance among newly diagnosed and antiretroviral treatment naive hiv infected individuals in western yunnan a hot area of viral recombination in china,2012 Dec 28,2012
