UID,Title,PublicationDate,PublicationYear
32027614,are physicians aware of current hiv aids diagnostic practices a study from a tertiary centre in turkey,2018 Dec 31,2018
30594702,performance evaluation of the bio rad geenius hiv 1 2 supplemental assay,2019 Feb,2019
30594700,performance of geno2pheno coreceptor to infer coreceptor use in human immunodeficiency virus type 1 hiv 1 subtype a,2019 Feb,2019
30594441,adolescent preexposure prophylaxis administration an education curriculum for health care providers,2019 May-Jun,2019
30594299,sexual orientation and sex related substance use the unexplored role of bisexuality,2019 Apr,2019
30594266,potentially high number of ineffective drugs with the standard shorter course regimen for multidrug resistant tuberculosis treatment in haiti,2019 Feb,2019
30594261,case report olecranon bursitis due to prototheca wickerhamii in an immunocompromised patient,2019 Mar,2019
30594198,bypassing health facilities in rural mozambique spatial institutional and individual determinants,2018 Dec 29,2018
30594161,acceptability of option b among hiv positive women receiving antenatal and postnatal care services in selected health centre s in lusaka,2018 Dec 29,2018
30594160,association of hiv infection antiretroviral treatment and metabolic syndrome with large artery stiffness a cross sectional study,2018 Dec 29,2018
30594080,variation in hepatitis c virus treatment uptake between canadian centres in the era of direct acting antivirals,2019 Mar,2019
30593925,macro geographical specificities of the prevailing tuberculosis epidemic as seen through sitvit2 an updated version of the mycobacterium tuberculosis genotyping database,2019 Aug,2019
30593833,t cell senescence predicts subclinical atherosclerosis in hiv infected patients similarly to traditional cardiovascular risk factors,2019 Feb,2019
30593791,repercussions of inborn errors of immunity on growth,2019 Mar-Apr,2019
30593555,protocol for systematic review and meta analysis of treatment success rate among adult patients with tuberculosis in sub saharan africa,2018 Dec 28,2018
30593540,hiv interferes with the dendritic cell t cell axis of macrophage activation by shifting mycobacterium tuberculosis specific cd4 t cells into a dysfunctional phenotype,2019 Feb 1,2019
30593216,long term safety and immunogenicity of the m72 as01e candidate tuberculosis vaccine in hiv positive and negative indian adults results from a phase ii randomized controlled trial erratum,2018 Dec,2018
30593156,evidence on factors influencing contraceptive use and sexual behavior in south africa a systematic scoping review protocol,2018 Dec,2018
30592756,pre exposure prophylaxis for hiv prevention preferences among young adult african american men who have sex with men,2018,2018
30592721,enhanced gene delivery in tumor cells using chemical carriers and mechanical loadings,2018,2018
30592256,stopping of the downtrend of tuberculosis in iran a systematic review of associated risk factors,2020,2020
30592225,contextual influences on latino men s sexual and substance use behaviors following immigration to the midwestern united states,2021 Aug,2021
30592073,optimal probability weights for estimating causal effects of time varying treatments with marginal structural cox models,2019 May 10,2019
30592034,haemophilia and ageing,2019 Mar,2019
30591922,building hiv workforce capacity through a residency pathway outcomes and challenges,2018 Dec,2018
30591622,acute retroviral syndrome presenting with hemolytic anemia induced by g6pd deficiency,2018 Dec 27,2018
30591578,implementing an integrated pharmaceutical management information system for antiretrovirals and other medicines lessons from namibia,2018 Dec 27,2018
30591575,unpacking the black box how an sms based continuing medical education intervention improved medical knowledge among hiv clinicians in vietnam,2018 Dec 27,2018
30591390,prevention and treatment of sexually transmitted infections in high risk individuals including patients with hiv infection,2019 Feb,2019
30591052,correction to small contribution of gold mines to the ongoing tuberculosis epidemic in south africa a modeling based study,2018 Dec 28,2018
30591013,cryptococcal fungemia and probable histoplasmosis in a patient infected with hiv case report,2018 Dec 27,2018
30590981,transactional sex among women accessing antiretroviral care in sagamu nigeria a descriptive survey,2019 Jul,2019
33424441,fighting an epidemic in political context thirty five years of hiv aids policy making in the united states,2020 Aug,2020
30590751,migration crisis in venezuela impact on hiv in peru,2019 Feb 1,2019
30590741,phylogenetic methods inconsistently predict the direction of hiv transmission among heterosexual pairs in the hptn 052 cohort,2019 Sep 26,2019
30590736,altered cervical mucosal gene expression and lower interleukin 15 levels in women with schistosoma haematobium infection but not in women with schistosoma mansoni infection,2019 May 5,2019
30590710,altered expression of pycard interleukin 1 interleukin 18 and naip in successfully treated hiv positive patients with a low ratio of cd4 to cd8 t cells,2019 May 5,2019
30590585,fraction of rhinovirus detections attributable to mild and severe respiratory illness in a setting of high human immunodeficiency virus prevalence south africa 2013 2015,2019 May 5,2019
30590511,bayesian variable selection for multivariate zero inflated models application to microbiome count data,2020 Jul 1,2020
30590451,frailty is an independent risk factor for mortality cardiovascular disease bone disease and diabetes among aging adults with human immunodeficiency virus,2019 Sep 27,2019
30590421,human immunodeficiency virus hiv viral suppression after transition from having no healthcare coverage and relying on ryan white hiv aids program support to medicaid or private health insurance,2019 Jul 18,2019
30590412,switching from a protease inhibitor based regimen to a dolutegravir based regimen a randomized clinical trial to determine the effect on peripheral blood and ileum biopsies from antiretroviral therapy suppressed human immunodeficiency virus infected individuals,2019 Sep 27,2019
30590319,icariside ii attenuates lipopolysaccharide induced neuroinflammation through inhibiting tlr4 myd88 nf b pathway in rats,2019 Mar,2019
30590047,hematopoietic stem and progenitor cells are a distinct hiv reservoir that contributes to persistent viremia in suppressed patients,2018 Dec 26,2018
30589977,high prevalence of self reported tuberculosis and associated factors in a nation wide census among prison inmates in peru,2019 Mar,2019
30589900,field evaluation of near point of care cepheid genexpert hiv 1 qual for early infant diagnosis,2018,2018
30589870,effect of antiretroviral treatment on selected genes in whole blood from hiv infected adults sensitised by mycobacterium tuberculosis,2018,2018
30589854,do young black men who have sex with men in the deep south prefer traditional over alternative sti testing,2018,2018
30589653,technology use patterns among patients enrolled in inpatient detoxification treatment,2019 Jul/Aug,2019
30589631,real world health plan data analysis key trends in medication adherence and overall costs in patients with hiv,2019 Jan,2019
30589421,antimycotic therapy impact on oral mucosa candida species composition in hiv infected patients,2018,2018
30589373,mobile dating relational communication and motivations for aids risk reduction among chinese msm college students,2020 Mar,2020
30589344,family stress and youth mental health problems self efficacy and future orientation mediation,2019,2019
30589019,chronic sinusitis of odontogenic origin due to an undiagnosed displaced root fragment in the maxillary sinus and the role of cone beam computed tomography in successful management,2018 Nov-Dec,2018
30588966,arteriovenous fistula outcomes in human immunodeficiency virus positive patients,2018 Nov-Dec,2018
30588765,evaluation of cellular and humoral autoimmunity before the development of type 1 diabetes in a patient with idiopathic cd4 lymphocytopenia,2019 Jul,2019
30588732,hiv associated psoriasis epidemiology pathogenesis and management,2019 Mar,2019
30588301,docking study of flavonoid derivatives as potent inhibitors of influenza h1n1 virus neuraminidase,2019 Jan,2019
30588237,corrigendum a comprehensive analysis of the t and b lymphocytes repertoire shaped by hiv vaccines,2018,2018
30588216,on zoonotic viruses and yale new haven hospital s aids care program an interview with warren andiman md,2018 Dec,2018
30588141,hiv infection compounds the lymphopenia associated with cerebral malaria in malawian children,2019,2019
30587865,factors associated with concurrent sexual partnerships among men who have sex with men in yangon myanmar,2018 Nov,2018
30587784,paracoccidioidomycosis in immunocompromised patients a literature review,2018 Dec 26,2018
30587285,cover artist for 2019,2019 Jan,2019
30587168,what kind of life is this diabetes related notions of wellbeing among adults in eastern uganda and implications for mitigating future chronic disease risk,2018 Dec 27,2018
30587145,human papillomavirus infection anal cytological abnormalities in hiv positive men in eastern india,2018 Dec 27,2018
