UID,Title,PublicationDate,PublicationYear
22207891,hiv screening and awareness survey for pregnant women in a remote area in xinjiang uyghur autonomous region of china,2011,2011
22207651,detection of acute hiv infection a field evaluation of the determine hiv 1 2 ag ab combo test,2012 Feb 15,2012
22207583,failure to clear intra monocyte hiv infection linked to persistent neuropsychological testing impairment after first line combined antiretroviral therapy,2012 Feb,2012
22207561,cd4 count is associated with postoperative infection in patients with orthopaedic trauma who are hiv positive,2012 May,2012
22207121,delayed diagnosis that altered the professional orientation of an athlete with upper limb chronic arterial embolization,2012 Jan,2012
22206985,multicenter aids cohort study 1983 to,2012 Mar,2012
22206779,advances in basic and clinical immunology in 2011,2012 Feb,2012
22206772,pgd2 induces eotaxin 3 via ppar from sebocytes a possible pathogenesis of eosinophilic pustular folliculitis,2012 Feb,2012
22206687,sexual health behavior interventions for u s latino adolescents a systematic review of the literature,2012 Apr,2012
22206583,prevalence of xenotropic murine leukemia virus related virus infection in different risk populations in spain,2012 Sep,2012
22206501,test of an adapted multiple domain model in predicting sexual behaviors among unmarried young adults in india,2013,2013
22206480,development and validation of hiv related dyadic measures for men who have sex with men,2013,2013
22206442,community engaged research to identify house parent perspectives on support and risk within the house and ball scene,2013,2013
22206411,parent teen communication about sex in urban thai families,2012,2012
22206228,phylogenetic analysis of human immunodeficiency virus type 1 subtype c env gp120 sequences among four drug naive families following subsequent heterosexual and vertical transmissions,2012 Aug,2012
22206053,evaluation of the dried blood spot dbs collection method as a tool for detection of hiv ag ab hbsag anti hbs and anti hcv in a malaysian tertiary referral hospital,2011 Oct,2011
22205995,detection of murine leukemia virus or mouse dna in commercial rt pcr reagents and human dnas,2011,2011
22205982,indicators measuring the performance of malaria programs supported by the global fund in asia progress and the way forward,2011,2011
22205971,immunoassays based on penicillium marneffei mp1p derived from pichia pastoris expression system for diagnosis of penicilliosis,2011,2011
22205964,evaluation of cellular phenotypes implicated in immunopathogenesis and monitoring immune reconstitution inflammatory syndrome in hiv leprosy cases,2011,2011
22205956,modeling the population level effects of male circumcision as an hiv preventive measure a gendered perspective,2011,2011
22205931,comparison of initial antiretroviral therapy in the swiss hiv cohort study and the recommendations of the international aids society usa,2011,2011
22205930,safety and reactogenicity of canarypox alvac hiv vcp1521 and hiv 1 gp120 aidsvax b e vaccination in an efficacy trial in thailand,2011,2011
22205749,regulation of cyclin t1 and hiv 1 replication by micrornas in resting cd4 t lymphocytes,2012 Mar,2012
22205734,targeting hiv 1 envelope glycoprotein trimers to b cells by using april improves antibody responses,2012 Mar,2012
22205732,differential transmission of hiv traversing fetal oral intestinal epithelia and adult oral epithelia,2012 Mar,2012
22205657,human endogenous retrovirus k hml 2 gag and env specific t cell responses are infrequently detected in hiv 1 infected subjects using standard peptide matrix based screening,2012 Feb,2012
22205585,accelerated aging and human immunodeficiency virus infection emerging challenges of growing older in the era of successful antiretroviral therapy,2012 Aug,2012
22205438,development of proqol hiv an international instrument to assess the health related quality of life of persons living with hiv aids,2012 Apr 15,2012
22205437,uptake and outcome of combination antiretroviral therapy in men who have sex with men according to ethnic group the uk chic study,2012 Apr 15,2012
22205436,body fat abnormality in hiv infected children and adolescents living in europe prevalence and risk factors,2012 Mar 1,2012
22205427,changing impact of the aids epidemic on older age parents in the era of art evidence from thailand,2012 Mar,2012
22205325,difference in self reported and biological measured hiv prevalence implications for hiv prevention,2012 Aug,2012
22205324,rural residence and adoption of a novel hiv therapy in a national equal access healthcare system,2013 Jan,2013
22205102,age and cd4 count at initiation of antiretroviral therapy in hiv infected children effects on long term t cell reconstitution,2012 Feb 15,2012
22204606,asymptomatic neurocognitive disorders in patients infected by hiv fact or fiction,2011 Dec 28,2011
22204557,definition of hiv associated neurocognitive disorders are we overestimating the real prevalence,2011 Dec 28,2011
22204313,uptake of prevention of mother to child transmission interventions in kenya health systems are more influential than stigma,2011 Dec 28,2011
22204040,travel health alert notices and haiti cholera outbreak florida usa 2011,2011 Nov,2011
22203858,blocking type i interferon production a new therapeutic option to reduce the hiv 1 induced immune activation,2012,2012
22203821,structural features of antiviral apobec3 proteins are linked to their functional activities,2011,2011
22203586,presence of lamivudine or emtricitabine is associated with reduced emergence of nonnucleoside reverse transcriptase inhibitor mutations in an efavirenz based intermittent antiretroviral treatment regimen,2012 Mar,2012
22203492,key concepts in the early immunology of hiv 1 infection,2012 Feb,2012
22203469,neutralizing antibodies and control of hiv moves and countermoves,2012 Mar,2012
22203379,religiosity for promotion of behaviors likely to reduce new hiv infections in uganda a study among muslim youth in wakiso district,2013 Dec,2013
22202562,half plate of rice to a male casual sexual partner full plate belongs to the husband findings from a qualitative study on sexual behaviour in relation to hiv and aids in northern tanzania,2011 Dec 28,2011
22202556,immunomodulating tellurium compounds as anti cancer agents,2012 Feb,2012
22202183,functionalized quantum dots with dopamine dithiocarbamate as the matrix for the quantification of efavirenz in human plasma and as affinity probes for rapid identification of microwave tryptic digested proteins in maldi tof ms,2012 Jun 6,2012
22202042,psychological stressors as interventions good out of the evil,2012 Jan 1,2012
22201727,prophylactic treatment uptake and compliance with recommended follow up among hiv exposed infants a retrospective study in addis ababa ethiopia,2011 Dec 27,2011
22201684,human adenovirus specific t cells modulate hiv specific t cell responses to an ad5 vectored hiv 1 vaccine,2012 Jan,2012
22201675,rare serotype adenoviral vectors for hiv vaccine development,2012 Jan,2012
22201639,linearity and nonlinearity in hiv sti transmission implications for the evaluation of sexual risk reduction interventions,2011 Oct,2011
22201342,hiv associated neurological disorders a guide to pharmacotherapy,2012 Feb 1,2012
22201239,preliminary efficacy of a computer delivered hiv prevention intervention for african american teenage females,2011 Dec,2011
22201238,enhancing hiv communication between parents and children efficacy of the parents matter program,2011 Dec,2011
22201236,we re going to have to cut loose some of our personal beliefs barriers and opportunities in providing hiv prevention to african american men who have sex with men and women,2011 Dec,2011
22201235,transmen the hiv risk of gay identity,2011 Dec,2011
22200913,synergistic antitumor interactions between gemcitabine and clofarabine in human pancreatic cancer cell lines,2012 Mar,2012
22200908,mutational patterns in the frameshift regulating site of hiv 1 selected by protease inhibitors,2012 May,2012
22200846,diethyldithiocarbamate induces apoptosis in hhv 8 infected primary effusion lymphoma cells via inhibition of the nf b pathway,2012 Apr,2012
22200584,spectrum of renal histologies seen in hiv with outcomes prognostic indicators and clinical correlations,2012 Nov,2012
22200100,use of infcare hiv to identify and characterize suboptimally treated hiv patients at a danish hiv clinic a cross sectional cohort study,2012 Feb,2012
22199178,endovascular repair of ascending aortic pseudoaneurysm in a high risk patient,2012 Apr,2012
22199154,risk factors associated with death in a 12 month cohort analysis of tuberculosis patients 12 month follow up after registration,2015 Mar,2015
22199151,knowledge and perceptions of hiv infected patients regarding hiv transmission and treatment in ho chi minh city vietnam,2015 Mar,2015
22199133,building the bypass implications of improved access to sexual healthcare evidence from surveys of patients attending contrasting genitourinary medicine clinics across england in 2004 2005 and 2009,2012 Feb,2012
22199082,case of bacillary angiomatosis developed at a burn site,2012 Jan-Feb,2012
22199049,transurethral prostatectomy in human immunodeficiency virus infected patients morbidity and surgical risks in a developing economy,2012 Jan-Mar,2012
22199005,prognostic factors of 634 hiv negative patients with mycobacterium avium complex lung disease,2012 Mar 1,2012
22198819,role of pd 1 in hiv pathogenesis and as target for therapy,2012 Mar,2012
22198791,high prevalence of cryptococcal infection among hiv infected patients hospitalized with pneumonia in thailand,2012 Mar 1,2012
22198741,measuring quality of life in rural uganda reliability and validity of summary scores from the medical outcomes study hiv health survey mos hiv,2012 Nov,2012
22198699,early minocycline treatment prevents a decrease in striatal dopamine in an siv model of hiv associated neurological disease,2012 Jun,2012
22198549,nain e havandi andrographis paniculata present yesterday absent today a plenary review on underutilized herb of iran s pharmaceutical plants,2012 May,2012
22198317,analyzing continuous measures in hiv prevention research using semiparametric regression and parametric regression models how to use data to get the right answer,2012 Aug,2012
22198316,role of trust in delayed hiv diagnosis in a diverse urban population,2013 Jan,2013
22198314,hiv and syphilis prevalence and associated factors among young men who have sex with men in 4 cities in china,2013 Mar,2013
22198313,hiv disclosure and sexual transmission behaviors among an internet sample of hiv positive men who have sex with men in asia implications for prevention with positives,2012 Oct,2012
22198312,venue based approach to reaching msm idus and the general population with vct a three study site in kenya,2012 May,2012
22198216,fluorescein and indocyanine green angiography in ocular syphilis an exploratory study,2012 May,2012
22197976,b cell helper neutrophils stimulate the diversification and production of immunoglobulin in the marginal zone of the spleen,2011 Dec 25,2011
22197414,storytellers as partners in developing a genetics education resource for health professionals,2013 May,2013
22197032,hiv 1 tat protein increases the permeability of brain endothelial cells by both inhibiting occludin expression and cleaving occludin via matrix metalloproteinase 9,2012 Feb 3,2012
22197013,hiv infected male with fever and bilateral pulmonary nodules after highly active antiretroviral treatment,2012 May,2012
22196992,costs and benefits of multidrug multidose antiretroviral therapy for prevention of mother to child transmission of hiv in the dominican republic,2012 Mar,2012
22196985,factors that affect hiv testing and counseling services among heterosexuals in canada and the united kingdom an integrated review,2012 Jul,2012
22196945,efficacy and safety of an extended nevirapine regimen in infant children of breastfeeding mothers with hiv 1 infection for prevention of postnatal hiv 1 transmission hptn 046 a randomised double blind placebo controlled trial,2012 Jan 21,2012
22196880,novel impedimetric immunosensor for the detection and quantitation of adenovirus using reduced antibody fragments immobilized onto a conducting copolymer surface,2012 Feb 15,2012
22196584,prenylated caged xanthones chemistry and biology,2012 Jan,2012
22196231,social determinants of hiv aids and sexually transmitted diseases among black women implications for health equity,2012 Mar,2012
22196013,lymph nodes harbor viral reservoirs that cause rebound of plasma viremia in siv infected macaques upon cessation of combined antiretroviral therapy,2012 Feb 20,2012
22195949,single chain variable fragment cd7 antibody conjugated plga hdac inhibitor immuno nanoparticles developing human t cell specific nano technology for delivery of therapeutic drugs targeting latent hiv,2011 Nov 30,2011
22195774,emergence of hbv resistance to lamivudine 3tc in hiv hbv co infected patients in the gambia west africa,2011 Dec 23,2011
22195610,radiographic peek double lucency finding after anterior cervical discectomy and fusion with local autograft and peek spacer a preliminary study,2012 Mar,2012
22195207,drama and danger the opportunities and challenges of promoting youth sexual health through online social networks,2011,2011
22194905,randomized controlled trials of hiv aids prevention and treatment in africa results from the cochrane hiv aids specialized register,2011,2011
22194853,discontinuation of pneumocystis jirovecii pneumonia prophylaxis with cd4 count 200 cells l and virologic suppression a systematic review,2011,2011
22194804,re treatment tuberculosis cases categorised as other are they properly managed,2011,2011
22194795,cost effectiveness of early access to hiv services and starting cart in the uk 1996 2008,2011,2011
22194693,quantitative multicolor super resolution microscopy reveals tetherin hiv 1 interaction,2011 Dec,2011
22194689,nef decreases hiv 1 sensitivity to neutralizing antibodies that target the membrane proximal external region of tmgp41,2011 Dec,2011
22194686,association of activating kir copy number variation of nk cells with containment of siv replication in rhesus monkeys,2011 Dec,2011
22194560,hiv aids arvs as hiv prevention a tough road to wide impact,2011 Dec 23,2011
22194547,breakthrough of the year hiv treatment as prevention,2011 Dec 23,2011
22194479,imaging of stroke part 1 perfusion ct overview of imaging technique interpretation pearls and common pitfalls,2012 Jan,2012
22194090,differences between hiv positive and hiv negative african american men who have sex with men in two major u s metropolitan areas,2013 Feb,2013
22193888,cell biology of trim5,2012 Mar,2012
22193775,hiv prevalence among persons suspected of tuberculosis policy implications for india,2012 Apr 1,2012
22193774,contribution of maternal hiv seroconversion during late pregnancy and breastfeeding to mother to child transmission of hiv,2012 Apr 1,2012
22192964,differential expression of the 2 adrenoreceptor and m3 cholinoreceptor genes in bronchial mucosa of patients with asthma and chronic obstructive pulmonary disease,2012 Jan,2012
22192629,highly conserved hiv 1 gp120 glycans proximal to cd4 binding region affect viral infectivity and neutralizing antibody induction,2012 Feb 5,2012
22192456,derivation of non infectious envelope proteins from virions isolated from plasma negative for hiv antibodies,2012 Jan,2012
22192455,othering the health worker self stigmatization of hiv aids care among health workers in swaziland,2011 Dec 22,2011
22192157,endothelial and platelet function alterations in hiv infected patients,2012 Mar,2012
22191456,alcohol and marijuana use outcomes in the healthy choices motivational interviewing intervention for hiv positive youth,2012 Feb,2012
22191447,current developments and future perspectives for tb diagnostics,2012 Jan,2012
22191386,peptic ulcer perforation pulp score a predictor of mortality following peptic ulcer perforation a cohort study,2012 May,2012
22191316,postexposure prophylaxis against hepatitis b hepatitis c and human immunodeficiency virus infection in healthcare workers,2011 Nov,2011
22191049,investigating potential associations between cervical procedures and hiv acquisition,2011,2011
22191018,hiv infected late presenter patients,2012,2012
22190945,hiv associated burkitt lymphoma good efficacy and tolerance of intensive chemotherapy including codox m ivac with or without rituximab in the haart era,2012,2012
22190938,when cells suffocate autophagy in cancer and immune cells under low oxygen,2011,2011
22190844,association between semen exposure and incident bacterial vaginosis,2011,2011
22190722,generation of transmitted founder hiv 1 infectious molecular clones and characterization of their replication capacity in cd4 t lymphocytes and monocyte derived macrophages,2012 Mar,2012
22190655,mr imaging of treated prostate cancer,2012 Jan,2012
22190580,genital tract inflammation during early hiv 1 infection predicts higher plasma viral load set point in women,2012 Jan 15,2012
22190561,point of care urine antigen screening tests for tuberculosis and cryptococcosis potential for mortality reduction in antiretroviral treatment programs in africa,2012 Mar 1,2012
22190396,comparison between elecsys hbsag ii and architect hbsag qt assays for quantification of hepatitis b surface antigen among patients coinfected with hiv and hepatitis b virus,2012 Feb,2012
22190152,kidney disease in hiv infected persons,2012 Feb,2012
22190066,pharmacokinetics of antiretroviral drug varies with formulation in the target population of children with hiv 1,2012 Feb,2012
22190036,t cell differentiation factor cbf regulates hiv 1 vif mediated evasion of host restriction,2011 Dec 21,2011
22190024,iron deficiency and anemia predict mortality in patients with tuberculosis,2012 Feb,2012
22190015,phylogeographical footprint of colonial history in the global dispersal of human immunodeficiency virus type 2 group a,2012 Apr,2012
22190005,oxygen matters tissue culture oxygen levels affect mitochondrial function and structure as well as responses to hiv viroproteins,2011 Dec 22,2011
22189978,classical and emerging roles of vitamin d in hepatitis c virus infection,2011 Nov,2011
22189974,hcv routes of transmission what goes around comes around,2011 Nov,2011
22189973,what is killing people with hepatitis c virus infection,2011 Nov,2011
22189822,molecular epidemiology of hiv in two highly endemic areas of northeastern south africa,2012 Mar,2012
22189531,effect of early initiation of antiretroviral treatment in infants on pediatric aids mortality in south africa a model based analysis,2012 May,2012
22189509,primary liver cancer is more aggressive in hiv hcv coinfection than in hcv infection a prospective study anrs co13 hepavih and co12 cirvir,2012 Jun,2012
22189349,helping pregnant women make better decisions a systematic review of the benefits of patient decision aids in obstetrics,2011,2011
22189153,how long do physicians wait to start antiretroviral treatment in newly diagnosed hiv infected patients,2011 Nov-Dec,2011
22189151,four year follow up of polyalkylimide gel use for the treatment of hiv associated lipoatrophy,2011 Nov-Dec,2011
22189149,glucose plasma levels and pregnancy outcomes in women with hiv,2011 Nov-Dec,2011
22189148,guidelines on the treatment of chronic coinfection by trypanosoma cruzi and hiv outside endemic areas,2011 Nov-Dec,2011
22189090,cost of community integrated prevention campaign for malaria hiv and diarrhea in rural kenya,2011 Dec 21,2011
22188777,genetic and structural analysis of hiv 1 rev responsive element related to v38a and t18a enfuvirtide resistance mutations,2012,2012
22188724,adolescent with fever headache and myalgias,2012 Feb,2012
22188641,health care expenditures for medicaid covered males with haemophilia in the united states 2008,2012 Mar,2012
22188477,systemic delivery of sirna challenging but promising,2012 Apr 1,2012
22188456,oxidative stress and mitochondrial impairment after treatment with anti hiv drugs clinical implications,2011 Dec 1,2011
