UID,Title,PublicationDate
16370990,in search of cultural sensitivity and inclusiveness communication strategies used in rural hiv prevention campaigns designed for african americans,1998
16370972,patient self advocacy scale measuring patient involvement in health care decision making interactions,1999
16370934,tipranavir a protease inhibitor for multi drug resistant hiv 1,2006 Jan
16370539,detection of intestinal microsporidiosis in diarrhoeal patients infected with the human immunideficiency virus hiv 1 using pcr and uvitex 2b stain,2005 Apr
16370526,guillain barr syndrome in ethiopian patients,2005 Jan
16370525,anti hiv activity against immunodeficiency virus type 1 hiv i and type ii hiv ii of compounds isolated from the stem bark of combretum molle,2005 Jan
16370496,g8 cash shortfall leaves aids fund in terrible trouble,2005 Dec 7-13
16370382,technology evaluation ipilimumab medarex bristol myers squibb,2005 Dec
16370101,addressing ethical concerns in the indian hiv vaccine trials,2004 Oct-Dec
16370087,unmet ethical concerns of the proposed preventive hiv vaccine trials in india,2004 Jul-Sep
16370077,why life saving drugs should be public goals,2004 Jul-Sep
16370076,access to aids medicine ethical considerations,2004 Jul-Sep
16370063,unhealthy drug donations,2004 Jan-Mar
16370051,prevalence and risk factors of hepatitis c in hiv negative homosexual men in sydney australia,2005 Dec
16370036,china public health officials convicted of malpractice,2005 Aug
16370031,kenya free antiretrovirals distributed in prison,2005 Aug
16370029,uk house committee urges universal free hiv treatment,2005 Aug
16369926,no role for kaposi sarcoma associated herpesvirus in pediatric idiopathic pulmonary hypertension,2006 Feb
16369664,resistance of mycobacterium tuberculosis in a four year period in a madrid hospital,2005 Sep
16369464,relationship of serum immunoglobulin and igg subclass levels to race ethnicity and behavioral characteristics in hiv infection,2006 Jan
16369449,cytokine profiles in human immunodeficiency virus infected children treated with highly active antiretroviral therapy,2005 May 3
16369448,triple nucleoside analog antiretroviral therapy is there still a role in clinical practice a review,2005 Jun 2
16369447,migration and risk factors for hiv acquisition in pregnant women in baja california mexico,2005 Jun 22
16369376,hiv 1 non subtype b workgroup an international collaboration for the collection and analysis of hiv 1 non subtype b data,2005 Feb 23
16369306,pregnancy and other factors associated with higher cd4 t cell counts at hiv diagnosis in southeast michigan 1992 2002,2005 Mar 15
16369294,frequency of drug resistant variants of hiv 1 coexistent with wild type in treatment naive patients of india,2005 Jul 27
16368878,expansion of cd1d restricted nkt cells in patients with primary hiv 1 infection treated with interleukin 2,2006 Apr 15
16368796,reinfection with mycobacterium tuberculosis,2006 Jan 1
16368674,hiv aids fifty and older a hidden and growing population,2005
16368668,risks both known and unknown a qualitative method to assess the role of situation in hiv std risk and prevention,2005
16368667,consideration of future consequences and unprotected anal intercourse among men who have sex with men,2005
16368664,in from the outer generational differences in coming out and gay identity formation,2005
16368572,role of adp receptors in platelet function,2006 May 1
16368183,generalized numerical approach to rapid equilibrium enzyme kinetics application to 17beta hsd,2006 Mar 27
16368159,candidates for therapy hbv,2006
16368153,novel real time pcr assay to determine relative replication capacity for hiv 1 protease variants and or reverse transcriptase variants,2006 May
16368040,short term economic impact associated with occupational needlestick injuries among acute care nurses,2005 Dec
16368007,scutellaria baicalensis decreases ritonavir induced nausea,2005 Dec 20
16367804,changes in adipocytes and dendritic cells in lymph node containing adipose depots during and after many weeks of mild inflammation,2005 Dec
16366053,dental implants in the hiv positive patient case report and review of the literature,2005 Nov-Dec
16365986,uk house of lords upholds deportation order,2005 Aug
16365978,scottish prison service to halt mandatory drug testing,2005 Aug
16365973,tenofovir trials raise ethical issues,2005 Aug
16365972,taiwan aids ngos fight to keep human rights law,2005 Aug
16365969,united states funding restrictions threaten sex workers rights,2005 Aug
16365968,un leadership and harm reduction a rough road,2005 Aug
16365963,first evaluation of vancouver safe injection facility,2005 Aug
16365961,canadian developments buprenorphine now approved for the treatment of opiate addiction,2005 Aug
16365933,special coverage of the 43rd idsa meeting study finds negative impact of smoking on hiv infection and immune activation,2005 Nov
16365606,profiling providers on use of adjuvant chemotherapy by combining cancer registry and medical record data,2006 Jan
16365449,identification and characterization of u83a viral chemokine a broad and potent beta chemokine agonist for human ccrs with unique selectivity and inhibition by spliced isoform,2006 Jan 1
16365424,immunodomination in the evolution of dominant epitope specific cd8 t lymphocyte responses in simian immunodeficiency virus infected rhesus monkeys,2006 Jan 1
16365213,what a cardiologist needs to know about patients with human immunodeficiency virus infection,2005 Dec 20
16365153,modulation of specific surface receptors and activation sensitization in primary resting cd4 t lymphocytes by the nef protein of hiv 1,2006 Mar
16364944,unusual cause of pleural effusion,2006 Jan
16364566,facilitating entry into drug treatment among injection drug users referred from a needle exchange program results from a community based behavioral intervention trial,2006 Jul 27
16364503,cryptococcal infections in non hiv infected patients study of four cases and review of literature,2006 Mar
16364487,hepatotoxicity of antiretrovirals incidence mechanisms and management,2006
16364076,combination hepatitis c virus antigen and antibody immunoassay as a new tool for early diagnosis of infection,2006 Jan
16363914,controlling the spread of hiv aids in the indian subcontinent,2005 Dec
16363770,immunological development in asymptomatic hiv infected children,2004 Nov-Dec
16363050,fda notifications adult treatment guidelines updated,2005 Nov
16363048,special coverage of the 43rd idsa meeting rapid hiv testing and counseling proves effective at us mexico border researchers provide mobile testing services,2005 Nov
16363046,special coverage of the 43rd idsa meeting self rated health tool may have prognostic use in hiv treatment,2005 Nov
16363044,special coverage of the 43rd idsa meeting texas researchers find a new independent predictor of mortality among hiv patients abnormal ecgs have diagnostic potential,2005 Nov
16362996,viruses and lymphoma leukaemia,2006 Jan
16362928,selecting stable molecular targets for treatment and prevention of aids,2005
16362896,antibody responses to hepatitis a virus vaccine in hiv infected children with evidence of immunologic reconstitution while receiving highly active antiretroviral therapy,2006 Jan 15
16362643,viral reactivation and pseudotype production in an in vitro superinfection system with two different strains of hiv 1,2006 Apr
16361281,assisted procreation in cases of hepatitis b hepatitis c or human immunodeficiency virus infection of the male partner,2006 May
16361106,ptd xiap protects against cerebral ischemia by anti apoptotic and transcriptional regulatory mechanisms,2006 Apr
16360741,essay hiv aids prevention and peace through sport,2005 Dec
16360412,kaposi s sarcoma associated herpesvirus human herpesvirus 8 infection in reactive lymphoid tissues a model for kshv hhv 8 related lymphomas,2006 Jan
16360235,quality of life and cost effectiveness of anti hcv therapy in hiv infected patients,2006
16360232,treatment algorithm for the management of hepatitis c in hiv coinfected persons,2006
16359932,determination of the novel non peptidic hiv protease inhibitor tipranavir by hplc uv after solid phase extraction,2006 Feb 17
16359748,update on haart in hiv,2006
16359728,down modulation of tnf alpha mrna placental expression by azt used for the prevention of hiv 1 mother to child transmission,2006 Sep-Oct
16359404,high acceptability of voluntary counselling and hiv testing but unacceptable loss to follow up in a prevention of mother to child hiv transmission programme in rural malawi scaling up requires a different way of acting,2005 Dec
16359357,hiv 1 nat minipool during the pre seroconversion window period detection of a repeat blood donor,2006 Jan
16359352,viral safety of nanogam a new 15 nm filtered liquid immunoglobulin product,2006 Jan
16359240,high thymic volume is associated with viral replication and immunologic impairment only early after haart interruption in chronic hiv infection,2005
16359155,nasal histoplasmosis in the acquired immunodeficiency syndrome,2006 Jan
16358723,comparison ccr5de132 mutation in the ccr5 gene frequencies in russians tuvinians and in different groups of hiv infected individuals,2005 Nov
16358494,short communication retrospective analysis of 21 hiv aids cases,2005 Jul
16358444,intellectual property rights moral imagination and access to life enhancing drugs,2005 Oct
16358443,corporate social responsibility of the pharmaceutical industry idealism without illusion and realism without resignation,2005 Oct
16358441,introduction ethical responsibilities regarding drugs patents and health,2005 Oct
16358376,clinical features of chronic hepatitis b patients with ymdd mutation after lamivudine therapy,2005 Dec
16358156,cardiovascular manifestations in patients infected with the human immunodeficiency virus,2005 Nov
16357824,guidelines for using the quantiferon tb gold test for detecting mycobacterium tuberculosis infection united states,2005 Dec 16
16357692,tuberculosis of the spine experience in an inner city hospital,2005 Feb
16356864,effect of first line therapy including efavirenz and two nucleoside reverse transcriptase inhibitors in hiv infected children,2005 Dec 7
16356860,nef mediated lipid raft exclusion of ubch7 inhibits cbl activity in t cells to positively regulate signaling,2005 Dec
16356583,natural history and predictors of disease severity in chronic hepatitis c,2006
16356582,management of hepatocellular carcinoma in human immunodeficiency virus infected patients,2006
16356579,treatment of viral hepatitis in hiv coinfected patients adverse events and their management,2006
16355871,transient or occult hiv infections may occur more frequently than progressive infections changing the paradigm about hiv persistence,2005
16355865,virus perpetuation in populations biological variables that determine persistence or eradication,2005
16355599,use of acid reducing agents in protease inhibitor based haart and the potential for negative treatment outcomes,2005 Dec
16340484,impact of sex partners hiv status on hiv seroconversion in a prospective cohort of injection drug users,2006 Jan 1
16340483,predictors of nonadherence to single dose nevirapine therapy for the prevention of mother to child hiv transmission,2006 Jan 1
16340481,coinfection with hiv 1 and human t cell lymphotropic virus type ii in intravenous drug users is associated with delayed progression to aids,2006 Jan 1
16340480,transmission of cell free and cell associated hiv 1 through breast feeding,2006 Jan 1
16340479,perinatal hiv counseling and rapid testing in tijuana baja california mexico seroprevalence and correlates of hiv infection,2006 Jan 1
16340477,high hiv prevalence among a high risk subgroup of women attending sexually transmitted infection clinics in pune india,2006 Jan 1
16340475,liver fibrosis in hiv positive patients with hepatitis c virus role of persistently normal alanine aminotransferase levels,2006 Jan 1
16340474,utilization and access to antiretroviral genotypic resistance testing and results within the us department of veterans affairs,2006 Jan 1
16340473,reasons for modification of generic highly active antiretroviral therapeutic regimens among patients in southern india,2006 Jan 1
16340472,clinician delivered intervention during routine clinical care reduces unprotected sexual behavior among hiv infected patients,2006 Jan 1
16340470,clinical presentation and course of acute hepatitis c infection in hiv infected patients,2006 Jan 1
16340467,cc chemokines induce neutrophils to chemotaxis degranulation and alpha defensin release,2006 Jan 1
16339909,neutralizing antibody responses drive the evolution of human immunodeficiency virus type 1 envelope during recent hiv infection,2005 Dec 20
16339630,screening for infectious diseases among patients in a state psychiatric hospital,2005 Dec
16339584,functional and phenotypic characterization of cd57 cd4 t cells and their association with hiv 1 induced t cell dysfunction,2005 Dec 15
16339256,designing research in vulnerable populations lessons from hiv prevention trials that stopped early,2005 Dec 10
16339066,evaluation and diagnostic usefulness of domestic and imported enzyme linked immunosorbent assays for detection of human immunodeficiency virus type 1 antibody in india,2005 Dec
16339065,evaluation of a new single parameter volumetric flow cytometer cyflow green for enumeration of absolute cd4 t lymphocytes in human immunodeficiency virus type 1 infected thai patients,2005 Dec
16338785,breast milk pasteurisation in developed countries to reduce hiv transmission do the benefits outweigh the risks,2005 Dec
16338775,hiv risk and communication between regular partners in a cohort of hiv negative gay men,2006 Feb
16338773,strategies for management and treatment of dyslipidemia in hiv aids,2006 Feb
16338769,costs and financial burden of care and support services to plha and households in south india,2006 Feb
16338766,effects of treated and untreated depressive symptoms on highly active antiretroviral therapy use in a us multi site cohort of hiv positive women,2006 Feb
16338479,drug treatment disparities among hispanic drug using women in puerto rico and new york city,2006 Jan
16338026,influence of hiv co infection on hepatitis c immunopathogenesis,2006
16338020,influence of viral hepatitis on hiv infection,2006
16337983,biochemical and genetic analyses of integrase interacting proteins lens epithelium derived growth factor ledgf p75 and hepatoma derived growth factor related protein 2 hrp2 in preintegration complex function and hiv 1 replication,2006 Mar 15
16337692,hiv 1 induced depletion of cd4 t cells in the gut mechanism and therapeutic implications,2006 Jan
16337065,cancer and hiv infection any association,2006 Mar
16336769,skeletal myopathy associated with nucleoside reverse transcriptase inhibitor therapy potential benefit of coenzyme q10 therapy,2005 Dec
16336766,is triage an appropriate way of dealing with walk in patients attending genitourinary medicine clinics,2005 Dec
16336765,reducing risk exposures to zero and not having multiple partners findings that inform evidence based practices designed to prevent std acquisition,2005 Dec
16336764,comparison of conventional testing to polymerase chain reaction in detection of trichomonas vaginalis in indigenous women living in remote areas,2005 Dec
16336763,quadruple 2 protease inhibitors pi therapy does not accelerate viral decay and suppression in pi naive hiv 1 infected patients with severe immunosuppression and high viral load as compared with standard triple therapy,2005 Dec
16336761,first point prevalence study of genital chlamydia trachomatis infection in young male inmates in the uk,2005 Dec
16336760,comprehensive clinical care on site in men only saunas confidential sti hiv screening outreach clinic,2005 Dec
16336759,cervical dyskaryosis among women with and without hiv prevalence and risk factors,2005 Dec
16336756,causes of the decline in aids deaths united states 1995 2002 prevention treatment or both,2005 Dec
16336624,brief report methadone treatment of injecting opioid users for prevention of hiv infection,2006 Feb
16336522,diagnostic clinical features of pentazocine induced ulcers,2005 Nov
16336266,allosteric modulation of anti hiv drug and ferric heme binding to human serum albumin,2005 Dec
16336205,therapeutic vaccination against hiv current progress and future possibilities,2006 Jan
16336137,challenges conflict and change,2005 Dec 5-19
16336075,psychosocial and behavioral correlates of seeking sex partners on the internet among hiv positive men,2005 Dec
16335989,ultra sensitive immunoassays using multi photon detection in diagnostic proteomics of blood,2005 Nov-Dec
16335895,surgical glove use in france,2005 Jul-Aug
16335755,predictors for non adherence to antiretroviral therapy,2004
16335753,safer sex or pleasurable sex rethinking condom use in the aids era,2004
16335752,epidemiology of hiv and sexually transmitted infections in thailand,2004
16335747,correlates of perceived difficulty in potentially disclosing hiv positive test results a study of low income women attending an urban clinic,2005
16335746,evaluating the utility of surveillance data to decision makers in victoria australia,2005
16335744,risk factors for hiv infection in a gynaeco obstetric population in vietnam a case control study,2005
16335742,genetic influences on hiv infection implications for vaccine development,2005
16335669,serum leptin and adiponectin concentrations in patients infected with human immunodeficiency virus type 1 hiv 1 on antiretroviral therapy,2005 Jan-Feb
16335661,frequency of the ccr5 delta 32 chemokine receptor gene mutation in the lebanese population,2004 Jul-Sep
16335543,antiretroviral therapy associated lipoatrophy current status and future directions,2005
16335542,hiv testing of pregnant women what is needed to protect positive women s needs and rights,2005
16335541,managing patients with sexual transmission of drug resistant hiv,2005
16335540,sexual health promotion in thailand,2005
16335493,public health human rights and hiv,2002 Oct-Dec
16335492,unethical practices,2002 Oct-Dec
16335478,role of viral coreceptors and enhanced macrophage tropism in human immunodeficiency virus type 1 disease progression,2004
16335475,effectively navigating the healthcare system you and your medical team at work,2005 Fall
16335473,gastrointestinal problems and hiv the effect on treatment success,2005 Fall
16335471,getting the most out of treatment,2005 Fall
16335469,one on one with phill wilson the director of black aids institute talks about moving forward interview by keith r green,2005 Nov-Dec
16335467,black people and the search for an hiv vaccine a vaccine advocate gives us the low down,2005 Nov-Dec
16335465,nearly half of us may already be infected who gives a damn an open letter to black gay and bisexual men,2005 Nov-Dec
16335464,team treatment education advocacy management effort tpan s training program shines,2005 Nov-Dec
16335463,microbicides when how and why care now everything you need to know about this prevention product,2005 Nov-Dec
16335462,latinos and hiv an epidemic waiting to burst david munar of aids foundation of chicago gives the deal interview by enid v zquez,2005 Nov-Dec
