UID,Title,PublicationDate,PublicationYear
31887539,perky effect revisited imagery hinders perception at high levels but aids it at low,2020 Feb,2020
31887456,latent tuberculosis infection screening in persons newly diagnosed with hiv infection in italy a multicentre study promoted by the italian society of infectious and tropical diseases,2020 Mar,2020
31887258,protect yourself from peril,2020 Feb,2020
31887208,measuring and addressing the childhood tuberculosis reporting gaps in pakistan the first ever national inventory study among children,2019,2019
31887187,hepatitis b virus seromarkers among hiv infected adults on art an unmet need for hbv screening in eastern ethiopia,2019,2019
31887156,clinical outcome of admitted hiv aids patients in ethiopian tertiary care settings a prospective cohort study,2019,2019
31887142,heroin type injecting behavior and hiv transmission a simulation model of hiv incidence and prevalence,2019,2019
31886403,association between hiv infection and cervical cancer presentation and survival in uganda,2020 Feb,2020
31886271,perceived stigma and fear of unintended disclosure are barriers in medication adherence in adolescents with perinatal hiv in botswana a qualitative study,2019,2019
31886258,free light chains as a novel diagnostic biomarker of immune system abnormalities in multiple sclerosis and hiv infection,2019,2019
31886073,subtle cryptococcal immune reconstitution inflammatory syndrome,2019 Nov 12,2019
31886011,severely disseminated kaposi sarcoma after abo incompatible kidney transplantation treated successfully with paclitaxel and gemcitabine combined with hemodialysis,2019,2019
31885960,early diagnosis of latent tuberculosis reactivation due to drug interaction between cobicistat and intranasal fluticasone,2019,2019
31885911,child centred care in hiv service provision for children in resource constrained settings a narrative review of literature,2019,2019
31885806,hiv 1 reverse transcriptase promotes tumor growth and metastasis formation via ros dependent upregulation of twist,2019,2019
31885759,emerging concern high rates of frailty among middle aged and older individuals living with hiv,2019 Dec,2019
31885371,isolation transfection and culture of primary human monocytes,2019 Dec 16,2019
31885351,determination of antibodies to human immunodeficiency virus type 1 2 o and p24 antigen in pregnant women in port harcourt nigeria,2020,2020
31885335,immunological and epidemiological evaluation of ebv infections among hiv 1 infected individuals in abakaliki nigeria supports the potential use of neutrophils as a marker of ebv in hiv disease progression and as useful markers of immune activation,2020,2020
31885324,mini review prevention of mother child transmission of hiv 25 years of continuous progress toward the eradication of pediatric aids,2020 Dec,2020
31885311,exosomes cloak the virion to transmit enterovirus 71 non lytically,2020 Dec,2020
31885153,retinol binding protein 4 rbp4 a potential biomarker of frailty in hiv infected people on stable antiretroviral therapy,2020 Jul,2020
31884984,great apes in the emergence of infectious diseases,2019 Nov 1,2019
31884980,diamniadio institute for health research epidemiological surveillance and training iressef one man s vision and a bet on the future,2019 Nov 1,2019
31884900,syphilis management in pregnancy a review of guideline recommendations from countries around the world,2019 Dec,2019
31884571,social capital and risk of concurrent sexual partners among african americans in jackson mississippi,2020 Jul,2020
31884302,interventions for posttraumatic stress disorder symptoms induced by medical events a systematic review,2020 Feb,2020
31884165,interactive multiresolution visualization of cellular network processes,2020 Jan 24,2020
