UID,Title,PublicationDate,PublicationYear
11753971,acquired immune deficiency syndrome and the increase in non hodgkin lymphoma incidence in new jersey from 1979 to 1996,2001 Dec 1,2001
11753946,hodgkin disease developing in patients infected by human immunodeficiency virus results in clinical features and a prognosis similar to those in patients with human immunodeficiency virus related non hodgkin lymphoma,2001 Dec 1,2001
11753825,risk factors for development of tuberculosis after isoniazid chemoprophylaxis in human immunodeficiency virus infected patients,2002 Feb 1,2002
11753694,first results of the ioba low vision unit,2001 Dec,2001
11753641,p53 enhances the fidelity of dna synthesis by human immunodeficiency virus type 1 reverse transcriptase,2001 Nov 15,2001
11753535,famiciclovir therapy famvir for herpes simplex and herpes zoster infections,2001 Nov,2001
11753447,relation between erythrocyte sedimentation rate clinical and immune status and virus load in non hospitalized hiv infected patients,2001 Sep,2001
11752933,cytomegalovirus pneumonia high resolution ct findings in ten non aids immunocompromised patients,2000 Apr-Jun,2000
11752903,effects of z 100 a mycobacterium tuberculosis derived arabinomannan on the lp bm5 murine leukemia virus infection in mice,2001,2001
11752883,highly active antiretroviral therapy responders exhibit a phenotypic lymphocyte pattern comparable to that of long term nonprogressors,2001 Nov,2001
11752703,dna mva based candidate human immunodeficiency virus vaccine for kenya induces multi specific t cell responses in rhesus macaques,2002 Jan,2002
11752436,oligomeric structure of virion associated and soluble forms of the simian immunodeficiency virus envelope protein in the prefusion activated conformation,2001 Dec 18,2001
11752220,alpha glucosidase inhibitor 1 deoxynojirimycin blocks human immunodeficiency virus envelope glycoprotein mediated membrane fusion at the cxcr4 binding step,2002 Jan,2002
11752174,differential selection of specific human immunodeficiency virus type 1 jc499 variants after mucosal and parenteral inoculation of chimpanzees,2002 Jan,2002
11752165,characterization of e3 49k a novel highly glycosylated e3 protein of the epidemic keratoconjunctivitis causing adenovirus type 19a,2002 Jan,2002
11752161,evidence for human immunodeficiency virus type 1 replication in vivo in cd14 monocytes and its potential role as a source of virus in patients on highly active antiretroviral therapy,2002 Jan,2002
11752157,distribution of chemokine receptor ccr2 and ccr5 genotypes and their relative contribution to human immunodeficiency virus type 1 hiv 1 seroconversion early hiv 1 rna concentration in plasma and later disease progression,2002 Jan,2002
11752142,cytokines as adjuvants for the induction of anti human immunodeficiency virus peptide immunoglobulin g igg and iga antibodies in serum and mucosal secretions after nasal immunization,2002 Jan,2002
11751984,generation of genome wide cd8 t cell responses in hla a 0201 transgenic mice by an hiv 1 ubiquitin expression library immunization vaccine,2002 Jan 1,2002
11751978,vaccine protection against functional ctl abnormalities in simian human immunodeficiency virus infected rhesus monkeys,2002 Jan 1,2002
11751951,nk cell activation by dendritic cells is dependent on lfa 1 mediated induction of calcium calmodulin kinase ii inhibition by hiv 1 tat c terminal domain,2002 Jan 1,2002
11751111,novel synthetic polyamines are effective in the treatment of experimental microsporidiosis an opportunistic aids associated infection,2002 Jan,2002
11750963,can a developed country s maternal mortality review be used as the gold standard for a developing country,2002 Jan 10,2002
11750936,vector system for introducing foreign hiv 1 env genes and pseudotyping of mulv particles with the recombinant hiv 1 envelope proteins for anti hiv 1 assay,2002 Feb,2002
11750213,development and validation of a self completed hiv symptom index,2001 Dec,2001
11750210,successful aging among people with hiv aids,2001 Dec,2001
11750209,neuropsychiatric aspects of hiv infection among older adults,2001 Dec,2001
11750208,aging and neuro aids conditions and the changing spectrum of hiv 1 associated morbidity and mortality,2001 Dec,2001
11750206,general medical and psychiatric comorbidity among hiv infected veterans in the post haart era,2001 Dec,2001
11750204,immunology case registry,2001 Dec,2001
11750202,justification for a new cohort study of people aging with and without hiv infection,2001 Dec,2001
11750163,variation in random amplified polymorphic dna rapd profiles specific to fluconazole resistant and sensitive strains of candida albicans,2001 Nov,2001
11749759,antimicrobial sensitivity in enterobacteria from aids patients zambia,2002 Jan,2002
11749756,human infection with cryptosporidium felis case report and literature review,2002 Jan,2002
11749666,potential therapeutic uses for s nitrosothiols,2002 Jan,2002
11743839,structured treatment interruptions for the management of hiv infection,2001 Dec 19,2001
11733580,sialylated o glycans and sulfated tyrosines in the nh2 terminal domain of cc chemokine receptor 5 contribute to high affinity binding of chemokines,2001 Dec 3,2001
11709791,relationship between human immunodeficiency virus type 1 hiv 1 specific memory cytotoxic t lymphocytes and virus load after recent hiv 1 seroconversion,2001 Dec 1,2001
11709782,associations of ccr5 ccr2 and stromal cell derived factor 1 genotypes with human immunodeficiency virus disease progression in patients receiving nucleoside therapy,2001 Dec 1,2001
11709781,recent origin of human immunodeficiency virus type 1 variants in resting cd4 t lymphocytes in untreated and suboptimally treated subjects,2001 Dec 1,2001
11748658,high prevalence of hepatitis e antibodies among danish prisoners and drug users,2002 Jan,2002
11748655,acute self limiting hepatitis b after immunoprophylaxis failure in an infant,2002 Jan,2002
11748651,semiquantitative detection of jcv dna in peripheral blood leukocytes from hiv 1 infected patients with or without progressive multifocal leukoencephalopathy,2002 Jan,2002
11748496,progressive multifocal leukoencephalopathy in a child with hyperimmunoglobulin e recurrent infection syndrome and review of the literature,2001 Oct,2001
11748485,lipodystrophy and metabolic disorders as complication of antiretroviral therapy of hiv infection,2001,2001
11748275,identification of dynamically distinct subpopulations of t lymphocytes that are differentially affected by hiv,2001 Dec 17,2001
11747983,molecular mechanisms for protein kinase a mediated modulation of immune function,2002 Jan,2002
11747962,taking hiv to court,2001 Dec 8,2001
11747850,human immunodeficiency virus related lymphoma relation between clinical features and histologic subtypes,2001 Dec 15,2001
11747803,visceral leishmaniasis associated with human immunodeficiency virus infection,2001 Aug-Sep,2001
11747736,community acquired acinetobacter radioresistens bacteremia in an hiv positive patient,2001 Nov-Dec,2001
11747718,trichomonas vaginalis hiv and african americans,2001 Nov-Dec,2001
11747697,molecular identification of streptomycin monoresistant mycobacterium tuberculosis related to multidrug resistant w strain,2001 Sep-Oct,2001
11747468,development of dengue virus replicons expressing hiv 1 gp120 and other heterologous genes a potential future tool for dual vaccination against dengue virus and hiv,2001,2001
11747278,syndrome of lipodystrophy hyperlipidemia insulin resistance and diabetes in treated patients with human immunodeficiency virus infection,2001 Nov-Dec,2001
11746545,plasmapheresis in the treatment of an acute pancreatitis due to protease inhibitor induced hypertriglyceridemia,2001,2001
11746336,estimating the efficacy of interventions to prevent mother to child transmission of hiv in breast feeding populations development of a consensus methodology,2001 Dec 15,2001
11746335,collection of standardized information on infant feeding in the context of mother to child transmission of hiv,2001 Dec 15,2001
11746320,semi parametric regression analysis of cd4 cell counts,2001 Nov 15,2001
